smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1cc([C@@H](C)N=[N+]=[N-])c(C)s1	ZINC000034257204	QAIATKBXVYAWML-ZCFIWIBFSA-N	181.264	3.736	10	20	AHCD	
Cc1cc([C@H](C)N=[N+]=[N-])c(C)s1	ZINC000034257206	QAIATKBXVYAWML-LURJTMIESA-N	181.264	3.736	10	20	AHCD	
CCc1cccc(-n2c(C)ccc2C)c1	ZINC000035120136	XJOMXSTXROPCFB-UHFFFAOYSA-N	199.297	3.657	10	20	AHCD	
CC(C)c1ccc(CN=[N+]=[N-])cc1	ZINC000037206910	LGLDPJRXZNPEIS-UHFFFAOYSA-N	175.235	3.620	10	20	AHCD	
CC(=S)c1ccc2ccccc2c1	ZINC000038246885	BMMDHBPBFBYJHQ-UHFFFAOYSA-N	186.279	3.578	10	20	AHCD	
CCCC[C@@H](CC)CN=[N+]=[N-]	ZINC000039193485	YURBHRXXOPAJSS-MRVPVSSYSA-N	155.245	3.513	10	20	AHCD	
CCCC[C@H](CC)CN=[N+]=[N-]	ZINC000039193487	YURBHRXXOPAJSS-QMMMGPOBSA-N	155.245	3.513	10	20	AHCD	
[N-]=[N+]=NCCCSc1cccs1	ZINC000042416340	SPUOAIFFDPICLA-UHFFFAOYSA-N	199.304	3.541	10	20	AHCD	
[N-]=[N+]=NCCCSC1CCCCC1	ZINC000042416455	KGALNTFCYCJNMB-UHFFFAOYSA-N	199.323	3.753	10	20	AHCD	
C[C@@H]1CCC[C@H](SCCN=[N+]=[N-])C1	ZINC000054694460	ADMQPFNLAZIFKC-BDAKNGLRSA-N	199.323	3.609	10	20	AHCD	
C[C@H]1CCC[C@H](SCCN=[N+]=[N-])C1	ZINC000054694461	ADMQPFNLAZIFKC-IUCAKERBSA-N	199.323	3.609	10	20	AHCD	
C[C@@H]1CCC[C@@H](SCCN=[N+]=[N-])C1	ZINC000054694463	ADMQPFNLAZIFKC-RKDXNWHRSA-N	199.323	3.609	10	20	AHCD	
C[C@H]1CCC[C@@H](SCCN=[N+]=[N-])C1	ZINC000054694465	ADMQPFNLAZIFKC-DTWKUNHWSA-N	199.323	3.609	10	20	AHCD	
CCCCc1ccc(C(C)=S)cc1	ZINC000059657099	GDRFZJAIIBBIGN-UHFFFAOYSA-N	192.327	3.767	10	20	AHCD	
CCCCC(=S)c1ccccc1	ZINC000059994527	NEDVMOACVULBCO-UHFFFAOYSA-N	178.300	3.595	10	20	AHCD	
[N-]=[N+]=NCCCSCC1CCCC1	ZINC000062836967	HIDNPHUBSXTNLE-UHFFFAOYSA-N	199.323	3.610	10	20	AHCD	
CC[C@H](N=[N+]=[N-])c1ccc(C)cc1	ZINC000104459707	CNMPEBMQPVPGTH-JTQLQIEISA-N	175.235	3.756	10	20	AHCD	
[N-]=[N+]=NC=C1C2CC3CC(C2)CC1C3	ZINC000104531506	RCDOWVZFVPVZMV-UHFFFAOYSA-N	189.262	3.637	10	20	AHCD	
S=C1C=Cc2cccc3cccc1c32	ZINC000115189260	SQRUCVOQJURTJL-UHFFFAOYSA-N	196.274	3.585	10	20	AHCD	
CC[C@@H](N=[N+]=[N-])c1ccc(C)cc1	ZINC000123613726	CNMPEBMQPVPGTH-SNVBAGLBSA-N	175.235	3.756	10	20	AHCD	
C[C@H](N=[N+]=[N-])c1ccccc1Cl	ZINC000149907294	FQSQOBFYKBWRMN-LURJTMIESA-N	181.626	3.711	10	20	AHCD	
