smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC1=C(CN=[N+]=[N-])C(C)(C)CCC1	ZINC000032145291	BSBAKFPAJYHJNA-UHFFFAOYSA-N	179.267	3.823	10	10	AHCE	
[N-]=[N+]=N[C@@H]1CCCCCC[C@@H]1N=[N+]=[N-]	ZINC000034069396	UFUYDIZMQKZPSO-OCAPTIKFSA-N	194.242	3.698	10	10	AHCE	
[N-]=[N+]=N[C@@H]1CCCCCC[C@H]1N=[N+]=[N-]	ZINC000034069397	UFUYDIZMQKZPSO-HTQZYQBOSA-N	194.242	3.698	10	10	AHCE	
[N-]=[N+]=N[C@H]1CCCCCC[C@@H]1N=[N+]=[N-]	ZINC000034069398	UFUYDIZMQKZPSO-YUMQZZPRSA-N	194.242	3.698	10	10	AHCE	
[N-]=[N+]=N[C@H]1CCCC=C1c1ccccc1	ZINC000034102204	MWQJHJXLNMXZHJ-LBPRGKRZSA-N	199.257	3.933	10	10	AHCE	
[N-]=[N+]=N[C@@H]1CCCC=C1c1ccccc1	ZINC000034102205	MWQJHJXLNMXZHJ-GFCCVEGCSA-N	199.257	3.933	10	10	AHCE	
[N-]=[N+]=N[C@H]1C=C(c2ccccc2)CCC1	ZINC000034294962	YRFAAZMZTOUEFA-GFCCVEGCSA-N	199.257	3.933	10	10	AHCE	
[N-]=[N+]=N[C@@H]1C=C(c2ccccc2)CCC1	ZINC000034294963	YRFAAZMZTOUEFA-LBPRGKRZSA-N	199.257	3.933	10	10	AHCE	
CC[C@@H]1CCC[C@@](C)(N=[N+]=[N-])C1	ZINC000034413321	KQRMBBPRZLRCIF-RKDXNWHRSA-N	167.256	3.656	10	10	AHCE	
CCCCCC[C@@H](CN=[N+]=[N-])N=[N+]=[N-]	ZINC000034414955	MOIBGBIQISMUEI-QMMMGPOBSA-N	196.258	3.946	10	10	AHCE	
CCCCCC[C@H](CN=[N+]=[N-])N=[N+]=[N-]	ZINC000034414957	MOIBGBIQISMUEI-MRVPVSSYSA-N	196.258	3.946	10	10	AHCE	
CC1=CCCC[C@@H]1CCCN=[N+]=[N-]	ZINC000034449432	WZSYNXUZQVDGAX-SNVBAGLBSA-N	179.267	3.823	10	10	AHCE	
CC1=CCCC[C@H]1CCCN=[N+]=[N-]	ZINC000034449434	WZSYNXUZQVDGAX-JTQLQIEISA-N	179.267	3.823	10	10	AHCE	
[N-]=[N+]=NC1(c2ccco2)CCCCC1	ZINC000034500840	PBZLZFRARXNYDU-UHFFFAOYSA-N	191.234	3.749	10	10	AHCE	
CC(C)(C)CC(C)(C)N=[N+]=[N-]	ZINC000036455775	KORAOZGHGKTFAL-UHFFFAOYSA-N	155.245	3.512	10	10	AHCE	
