smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC1=C[C@](C)(N=[N+]=[N-])CC(C)(C)C1	ZINC000004984525	XIDIQKPVLJRPQI-JTQLQIEISA-N	179.267	3.822	10	1	AHCF	
CC1(C)[C@@H]2C[C@H]1C(CCN=[N+]=[N-])=CC2	ZINC000005103421	DEIVWAMYXFNREA-UWVGGRQHSA-N	191.278	3.679	10	1	AHCF	
CC1(C)[C@H]2C[C@@H]1C(CCN=[N+]=[N-])=CC2	ZINC000005103422	DEIVWAMYXFNREA-NXEZZACHSA-N	191.278	3.679	10	1	AHCF	
CC1=CC2=S(S1)SC(C)=C2	ZINC000005766862	LYGORGFXVWVMSM-UHFFFAOYSA-N	188.342	3.559	10	1	AHCF	
CC1=C[C@@](C)(N=[N+]=[N-])CC(C)(C)C1	ZINC000016954002	XIDIQKPVLJRPQI-SNVBAGLBSA-N	179.267	3.822	10	1	AHCF	
Cc1ccc(/N=N/c2ccccn2)cc1	ZINC000017001610	BESWTOIHYCYWCB-CCEZHUSRSA-N	197.241	3.805	10	1	AHCF	
COc1ccccc1/N=N/C(C)(C)C	ZINC000036372744	BOSYCVTZFVNVBD-OUKQBFOZSA-N	192.262	3.577	10	1	AHCF	
c1ccc(C/N=N/c2ccccc2)cc1	ZINC000039381679	OFPLKXJFHUIDJF-CCEZHUSRSA-N	196.253	3.971	10	1	AHCF	
Cc1ccccc1/N=N/c1ccccn1	ZINC000090398885	ICDPWVJSGNSOMY-CCEZHUSRSA-N	197.241	3.805	10	1	AHCF	
c1cc2ccccc3ccccc1c23	ZINC000090755226	WTIGTBJFTNVUPS-UHFFFAOYSA-N	178.234	3.993	10	1	AHCF	
Cc1ccccc1/N=N\c1ccccn1	ZINC000100259652	ICDPWVJSGNSOMY-PFONDFGASA-N	197.241	3.805	10	1	AHCF	
CCC(C)(C)/N=N\C(C)(C)CC	ZINC000100273068	ZGXHUGQEDPPKGZ-QXMHVHEDSA-N	170.300	3.816	10	1	AHCF	
COc1ccccc1/N=N\C(C)(C)C	ZINC000100414766	BOSYCVTZFVNVBD-SEYXRHQNSA-N	192.262	3.577	10	1	AHCF	
CC1(C)[C@@H]2C[C@@H]1C(CCN=[N+]=[N-])=CC2	ZINC000105244176	DEIVWAMYXFNREA-VHSXEESVSA-N	191.278	3.679	10	1	AHCF	
CC1(C)[C@H]2C[C@H]1CC=C2CCN=[N+]=[N-]	ZINC000105244180	DEIVWAMYXFNREA-ZJUUUORDSA-N	191.278	3.679	10	1	AHCF	
Cc1ccc(/N=N\c2ccccn2)cc1	ZINC000105287545	BESWTOIHYCYWCB-PFONDFGASA-N	197.241	3.805	10	1	AHCF	
Cc1ccc(/N=N/c2ccccc2)nc1	ZINC000139504126	ZCYIBFHOBFDPFR-CCEZHUSRSA-N	197.241	3.805	10	1	AHCF	
[N-]=[N+]=N/C(=C\Cl)c1ccccc1	ZINC000169465582	WUJHVKIAGUCFMS-VURMDHGXSA-N	179.610	3.534	10	1	AHCF	
Cc1cccnc1/N=N/c1ccccc1	ZINC000169554549	UKDAFRKVAVNGDO-CCEZHUSRSA-N	197.241	3.805	10	1	AHCF	
