smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Fc1ccc(/N=C/c2ccccc2)cc1	ZINC000000067272	OEJZOCTWYUFFNN-XNTDXEJSSA-N	199.228	3.576	30	50	AHEA	
CC(C)(C)c1ccc(N=C=S)cc1	ZINC000000153333	OCGNNCBNRBTUCG-UHFFFAOYSA-N	191.299	3.718	30	50	AHEA	
S=C=Nc1cccc2ccccc21	ZINC000000164198	JBDOSUUXMYMWQH-UHFFFAOYSA-N	185.251	3.574	30	50	AHEA	in-vitro
ClCc1c(Cl)cccc1Cl	ZINC000000164427	LBOBESSDSGODDD-UHFFFAOYSA-N	195.476	3.732	30	50	AHEA	
CC(C)c1ccccc1N=C=S	ZINC000000164724	QQOOMDSEMQHMIR-UHFFFAOYSA-N	177.272	3.544	30	50	AHEA	
CC(C)c1ccc(N=C=S)cc1	ZINC000000164728	SNWJJTIJIDXIHL-UHFFFAOYSA-N	177.272	3.544	30	50	AHEA	
Cc1cccc(C(C)C)c1N=C=S	ZINC000000164926	RDFPHTAQERHCES-UHFFFAOYSA-N	191.299	3.853	30	50	AHEA	
ClCc1cc(Cl)cc(Cl)c1	ZINC000000165983	ZFLRKAMKGYNFPH-UHFFFAOYSA-N	195.476	3.732	30	50	AHEA	
Cc1ccc(/N=C/c2ccco2)c(C)c1	ZINC000000272702	MXUPSWITNAWTCS-NTEUORMPSA-N	199.253	3.647	30	50	AHEA	
Cc1ccc(/C=N/c2ccc(C)cc2)o1	ZINC000000298289	FMZVUQPKTKKTTJ-NTEUORMPSA-N	199.253	3.647	30	50	AHEA	
Cc1ccc(/N=C/c2ccco2)cc1C	ZINC000000571077	JWXSWNDGBLIFDE-NTEUORMPSA-N	199.253	3.647	30	50	AHEA	
CC(C)(C)/C=C(\C#N)C(C)(C)C	ZINC000001044010	ZMWHNEXFPSOEBD-VQHVLOKHSA-N	165.280	3.529	30	50	AHEA	
Cc1ccc(/C=N/c2ccccc2)cc1	ZINC000001105050	PCICJNSIYHONRK-RVDMUPIBSA-N	195.265	3.746	30	50	AHEA	
N#CC(c1ccccc1)=C1CCCCC1	ZINC000001429289	ZHOOOLQOWQVYOE-UHFFFAOYSA-N	197.281	3.928	30	50	AHEA	
O=C1C=C2C[C@H](C1)CCCCCCC2	ZINC000001584175	RXVUBPIPKJMTSR-GFCCVEGCSA-N	192.302	3.636	30	50	AHEA	
CCCCCC[C@@H](C)Br	ZINC000001586380	FTJHYGJLHCGQHQ-MRVPVSSYSA-N	193.128	3.740	30	50	AHEA	
ClCc1cccc2ccccc21	ZINC000001586767	XMWGTKZEDLCVIG-UHFFFAOYSA-N	176.646	3.579	30	50	AHEA	
CCCCCCCCCCC=O	ZINC000001595727	KMPQYAYAQWNLME-UHFFFAOYSA-N	170.296	3.716	30	50	AHEA	endogenous,in-man
ClC1CCC(c2ccccc2)CC1	ZINC000001596142	XWXBWCBHZSFRGQ-UHFFFAOYSA-N	194.705	3.952	30	50	AHEA	
ClCc1ccc(Cl)cc1Cl	ZINC000001599530	IRSVDHPYXFLLDS-UHFFFAOYSA-N	195.476	3.732	30	50	AHEA	in-vitro
ClCc1ccc2ccccc2c1	ZINC000001600964	MPCHQYWZAVTABQ-UHFFFAOYSA-N	176.646	3.579	30	50	AHEA	
CCCCCCCCCCCN=C=O	ZINC000001603215	JXAYHHMVMJVFPQ-UHFFFAOYSA-N	197.322	3.853	30	50	AHEA	
S=C=Nc1ccc2ccccc2c1	ZINC000001609580	RTMXPNYHPHIDHX-UHFFFAOYSA-N	185.251	3.574	30	50	AHEA	
Cc1c(C)c(C)c(CCl)c(C)c1C	ZINC000001638532	CXUAEBDTJFKMBV-UHFFFAOYSA-N	196.721	3.968	30	50	AHEA	
CCCCCCCCSC#N	ZINC000001662385	FGVYCHQRRXDRAR-UHFFFAOYSA-N	171.309	3.561	30	50	AHEA	
CC(C)c1ccc(CCl)cc1	ZINC000001665968	CYAKWEQUWJAHLW-UHFFFAOYSA-N	168.667	3.549	30	50	AHEA	
Cc1ccc(C(C)C)cc1CCCl	ZINC000001670366	VDOZJKRMLDSRNJ-UHFFFAOYSA-N	196.721	3.900	30	50	AHEA	
CCCCCCCCC[C@H](C)C=O	ZINC000001677793	NFAVNWJJYQAGNB-LBPRGKRZSA-N	184.323	3.962	30	50	AHEA	endogenous,in-man
CC(C)[C@H]1CC[C@H](C)C[C@@H]1Cl	ZINC000001685864	OMLOJNNKKPNVKN-AEJSXWLSSA-N	174.715	3.686	30	50	AHEA	
CCCCCCCCCl	ZINC000001686928	CNDHHGUSRIZDSL-UHFFFAOYSA-N	148.677	3.586	30	50	AHEA	in-vitro
