smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C=Nc1ccc(Nc2ccccc2)cc1	ZINC000001593859	CTXMDBPVWIHSJW-UHFFFAOYSA-N	196.253	3.762	30	40	AHEB	
C(=NC1CCCCC1)=C1CCCCC1	ZINC000001615305	QQJLHUYLVJLVMF-UHFFFAOYSA-N	191.318	3.879	30	40	AHEB	
CCCC[C@](C=O)(C=C=C(C)C)CC	ZINC000001621010	DQEUSQNLDFHEBF-ZDUSSCGKSA-N	194.318	3.893	30	40	AHEB	
C/C(=C/C(C)(C)C)C(=O)C(C)(C)C	ZINC000001646242	QGTFBRNFEGPKTI-HJWRWDBZSA-N	182.307	3.594	30	40	AHEB	
CCCCCCC(C)(C)C(=O)Cl	ZINC000001692458	KICJYSRARHIXHM-UHFFFAOYSA-N	190.714	3.748	30	40	AHEB	
C=CC(=O)/C=C/CCCCCCC	ZINC000001698354	DUOLQRJSVONNHN-ZHACJKMWSA-N	180.291	3.658	30	40	AHEB	
CCCCCCCSCCCl	ZINC000001734871	VKGLGJGDQKNUQZ-UHFFFAOYSA-N	194.771	3.929	30	40	AHEB	
CCCCCC#CCCCCl	ZINC000001737748	WQROTKWHQIGFTO-UHFFFAOYSA-N	172.699	3.589	30	40	AHEB	
CCCC[C@@](C=O)(C=C=C(C)C)CC	ZINC000002037120	DQEUSQNLDFHEBF-CYBMUJFWSA-N	194.318	3.893	30	40	AHEB	
CC(C)c1ccc([C@@H](C)CC=O)cc1	ZINC000002041139	HQQPOVNESMNPNH-NSHDSACASA-N	190.286	3.503	30	40	AHEB	
CC(C)c1ccc([C@H](C)CC=O)cc1	ZINC000002041140	HQQPOVNESMNPNH-LLVKDONJSA-N	190.286	3.503	30	40	AHEB	
C/C(CC(C)C)=N/[C@@H](C)CC(C)C	ZINC000002044920	ZWRIUQCTICLUCX-IBPBOOLHSA-N	183.339	3.928	30	40	AHEB	
CC(C)(C)CCCCBr	ZINC000002392151	QVJRTJIUPXFNSL-UHFFFAOYSA-N	193.128	3.598	30	40	AHEB	
CCCCC#CCCCCCl	ZINC000002565721	HOROZASJKPUNET-UHFFFAOYSA-N	172.699	3.589	30	40	AHEB	
CCCCCCSCCCl	ZINC000002579144	PLRWRRRBQRCLAB-UHFFFAOYSA-N	180.744	3.539	30	40	AHEB	
c1ccc(N=C2CCCCC2)cc1	ZINC000003958271	RPFGCUFAJAQNLJ-UHFFFAOYSA-N	173.259	3.723	30	40	AHEB	
C/C(=C\C(=O)C(C)(C)C)C(C)(C)C	ZINC000004692754	JDSKGLJSYUSELX-CMDGGOBGSA-N	182.307	3.594	30	40	AHEB	
O=C1C=CC2(CC1)CCCCCCC2	ZINC000005133729	NPVAAOCDILSFAY-UHFFFAOYSA-N	192.302	3.636	30	40	AHEB	
CCCCCCC1=C(C)CCC1=O	ZINC000014439153	JAPZZAUIIPKQJW-UHFFFAOYSA-N	180.291	3.636	30	40	AHEB	endogenous,in-man
CC(=O)/C=C/[C@H]1[C@H](C)CCCC1(C)C	ZINC000014587982	YJRODKCOICMRBO-XEEGDWHKSA-N	194.318	3.594	30	40	AHEB	biogenic,in-vitro
CCCC/C=C/C=C\CCCC=O	ZINC000015146043	LDQDYNHCLZNOFB-MDAAKZFYSA-N	180.291	3.658	30	40	AHEB	biogenic,in-vitro
Cc1cc(N=C=S)c(C)cc1Cl	ZINC000015444665	QLUZWOLTAJDGIU-UHFFFAOYSA-N	197.690	3.691	30	40	AHEB	
Cc1ccc2nc(C)cc(N=[N+]=[N-])c2c1	ZINC000016942233	JYTHVHVWHWVVNF-UHFFFAOYSA-N	198.229	3.793	30	40	AHEB	
C/C(=C\C(C)(C)C)C(=O)C(C)(C)C	ZINC000016970942	QGTFBRNFEGPKTI-CMDGGOBGSA-N	182.307	3.594	30	40	AHEB	
CCCC/N=C(C)\C(C)=N/CCCC	ZINC000017157285	OODRHEYRJSRENL-XSYHWHKQSA-N	196.338	3.508	30	40	AHEB	
C=C(C)C/N=C1\C=C(C)CC(C)(C)C1	ZINC000017301434	KKLFYWHOIJFBET-WYMLVPIESA-N	191.318	3.770	30	40	AHEB	
C/C(CC(C)C)=N\[C@H](C)CC(C)C	ZINC000017311227	ZWRIUQCTICLUCX-GXZRWPEMSA-N	183.339	3.928	30	40	AHEB	
C/C(CC(C)C)=N\[C@@H](C)CC(C)C	ZINC000017311229	ZWRIUQCTICLUCX-UMAGAQSHSA-N	183.339	3.928	30	40	AHEB	
