smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C1CCC(=NC2CCCCC2)CC1	ZINC000032250059	QAFRYXRYDOBFEF-UHFFFAOYSA-N	179.307	3.724	30	30	AHEC	
CC(C)=CCC(C)(C)/C=C\C(C)=O	ZINC000032303274	DGGSFVWCYRBAHV-CLFYSBASSA-N	180.291	3.514	30	30	AHEC	
CS/C(=C/C=C(C)C)N=C(C)C	ZINC000035110799	VCBULQSCXFBVPD-JXMROGBWSA-N	183.320	3.638	30	30	AHEC	
[N-]=[N+]=Nc1cccc(Cl)c1Cl	ZINC000036928138	BHBXJLPKEBZTAU-UHFFFAOYSA-N	188.017	3.935	30	30	AHEC	
C[C@H](Cl)C12CC3CC(CC(C3)C1)C2	ZINC000057332729	RXKDIHAONHOFGY-JKJWBTBISA-N	198.737	3.830	30	30	AHEC	
C[C@@H](Cl)C12CC3CC(CC(C3)C1)C2	ZINC000057332732	RXKDIHAONHOFGY-AAWJQDODSA-N	198.737	3.830	30	30	AHEC	
CCCCCC[C@@H]1CCC/C1=N/O	ZINC000101407089	YALLFRVQSAQFHW-ZOAHYWAASA-N	183.295	3.587	30	30	AHEC	
CCCCCC[C@H]1CCC/C1=N/O	ZINC000101407091	YALLFRVQSAQFHW-OQDIYGIBSA-N	183.295	3.587	30	30	AHEC	
Cc1ccc(/C=N\c2ccc(C)cc2)o1	ZINC000101501198	FMZVUQPKTKKTTJ-ZROIWOOFSA-N	199.253	3.647	30	30	AHEC	
Cc1ccc(/N=C\c2ccco2)c(C)c1	ZINC000103821687	MXUPSWITNAWTCS-ZROIWOOFSA-N	199.253	3.647	30	30	AHEC	
C=CC1(C=O)CCC(C(C)(C)C)CC1	ZINC000104842327	JAMXZXHGGXJSLT-UHFFFAOYSA-N	194.318	3.594	30	30	AHEC	
Cc1cc(C)cc(/N=C\c2ccco2)c1	ZINC000105157266	FEMFRPXZYKXVQY-ZROIWOOFSA-N	199.253	3.647	30	30	AHEC	
Cc1cccc(/N=C\c2ccco2)c1C	ZINC000105157273	WRLWGHDQPWEHCU-ZROIWOOFSA-N	199.253	3.647	30	30	AHEC	
Cc1ccc(/N=C\c2ccco2)cc1C	ZINC000105213315	JWXSWNDGBLIFDE-ZROIWOOFSA-N	199.253	3.647	30	30	AHEC	
C/C=N\c1ccc(Cl)c(Cl)c1	ZINC000106395331	FGOPWXQNYLMJLZ-FUQNDXKWSA-N	188.057	3.716	30	30	AHEC	
Cc1ccc(/C=N\c2ccccc2)cc1	ZINC000106690914	PCICJNSIYHONRK-PTNGSMBKSA-N	195.265	3.746	30	30	AHEC	
CCCCCCCCC1=CC=CC1=O	ZINC000223850659	JMYWBMMFWWKRNH-UHFFFAOYSA-N	192.302	3.802	30	30	AHEC	
