smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[C@@H](Cl)[C@@H]1CC[C@@H](C)C[C@@H]1C	ZINC000227209047	ULYQAMBYBDROMP-UTINFBMNSA-N	174.715	3.686	30	20	AHED	
C[C@H](Cl)[C@@H]1CC[C@@H](C)C[C@@H]1C	ZINC000227209053	ULYQAMBYBDROMP-XFWSIPNHSA-N	174.715	3.686	30	20	AHED	
C[C@@H](Cl)[C@H]1CC[C@@H](C)C[C@@H]1C	ZINC000227209059	ULYQAMBYBDROMP-RGOKHQFPSA-N	174.715	3.686	30	20	AHED	
C[C@H](Cl)[C@H]1CC[C@@H](C)C[C@@H]1C	ZINC000227209068	ULYQAMBYBDROMP-KATARQTJSA-N	174.715	3.686	30	20	AHED	
C[C@H](Cl)[C@@H]1CCC[C@@H](C)CC1	ZINC000227209235	JXSPNUORPIJTCE-KXUCPTDWSA-N	174.715	3.830	30	20	AHED	
C[C@H](Cl)[C@H]1CCC[C@@H](C)CC1	ZINC000227209250	JXSPNUORPIJTCE-UTLUCORTSA-N	174.715	3.830	30	20	AHED	
CC[C@@H](C)C[C@@H]1CC[C@@H](Cl)C1	ZINC000227239048	VKTKWEZIDWKHIP-KXUCPTDWSA-N	174.715	3.830	30	20	AHED	
CC[C@H](C)C[C@@H]1CC[C@@H](Cl)C1	ZINC000227239053	VKTKWEZIDWKHIP-LPEHRKFASA-N	174.715	3.830	30	20	AHED	
CC[C@@H](C)C[C@H]1CC[C@@H](Cl)C1	ZINC000227239059	VKTKWEZIDWKHIP-OPRDCNLKSA-N	174.715	3.830	30	20	AHED	
CC[C@H](C)C[C@H]1CC[C@@H](Cl)C1	ZINC000227239064	VKTKWEZIDWKHIP-IVZWLZJFSA-N	174.715	3.830	30	20	AHED	
C=CCCC[C@H]1CC[C@@H](Cl)[C@H]1C	ZINC000227282367	RTMOLAQEJBVGHY-GARJFASQSA-N	186.726	3.996	30	20	AHED	
C=CCC[C@H]1CC[C@@H](Cl)[C@H]1C	ZINC000227282376	AOYWHTPHIWGLIE-LPEHRKFASA-N	172.699	3.606	30	20	AHED	
C[C@H]1c2ccccc2[C@H](Cl)[C@H]1C	ZINC000227295295	MXYVZEACMOHYCR-VHSKPIJISA-N	180.678	3.720	30	20	AHED	
C[C@@H]1c2ccccc2[C@H](Cl)[C@H]1C	ZINC000227295299	MXYVZEACMOHYCR-DKCNOQQISA-N	180.678	3.720	30	20	AHED	
C[C@H]1c2c(cccc2F)[C@H](Cl)[C@H]1C	ZINC000227295356	NCONYGHQZPFXAJ-PTZCXBDSSA-N	198.668	3.859	30	20	AHED	
C[C@@H]1c2c(cccc2F)[C@H](Cl)[C@H]1C	ZINC000227295363	NCONYGHQZPFXAJ-OKTBNZSVSA-N	198.668	3.859	30	20	AHED	
C[C@H]1c2ccc(F)cc2[C@H](Cl)[C@H]1C	ZINC000227295434	OLEIUHJBXCQCDC-PTZCXBDSSA-N	198.668	3.859	30	20	AHED	
C[C@@H]1c2ccc(F)cc2[C@H](Cl)[C@H]1C	ZINC000227295444	OLEIUHJBXCQCDC-OKTBNZSVSA-N	198.668	3.859	30	20	AHED	
