smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C=C(CBr)CCCCC	ZINC000001613264	LPMUHMKVIRPZHG-UHFFFAOYSA-N	191.112	3.518	30	10	AHEE	
C#CCCCCC#CCCCCCl	ZINC000001723797	IOKAYOKLCHXEIJ-UHFFFAOYSA-N	196.721	3.593	30	10	AHEE	
CCc1ccc(C(Cl)Cl)cc1	ZINC000002003033	PWKUMFYUILTTMD-UHFFFAOYSA-N	189.085	3.725	30	10	AHEE	
FCCCCCCCCCCl	ZINC000002040561	IZWJXXYDFODIDQ-UHFFFAOYSA-N	180.694	3.925	30	10	AHEE	
CCCCCCC(Cl)Cl	ZINC000002040683	MEMYUUBNXYUWRG-UHFFFAOYSA-N	169.095	3.761	30	10	AHEE	
CC(C)=CC[C@H]1C(C)=CC(=O)C[C@H]1C	ZINC000006030642	ZRDNXUZULKEEKI-YPMHNXCESA-N	192.302	3.514	30	10	AHEE	
CC(C)=CC[C@@H]1C(C)=CC(=O)C[C@H]1C	ZINC000006030646	ZRDNXUZULKEEKI-DGCLKSJQSA-N	192.302	3.514	30	10	AHEE	
CC(C)=CC[C@@H]1C(C)=CC(=O)C[C@@H]1C	ZINC000006037352	ZRDNXUZULKEEKI-WCQYABFASA-N	192.302	3.514	30	10	AHEE	
CCCCC[C@@H](C)[C@@H](C)CCC=O	ZINC000015119673	WGMKSPMCYFDKHP-NEPJUHHUSA-N	184.323	3.818	30	10	AHEE	biogenic,in-vitro
CCCCC[C@H](C)[C@@H](C)CCC=O	ZINC000015119674	WGMKSPMCYFDKHP-RYUDHWBXSA-N	184.323	3.818	30	10	AHEE	biogenic,in-vitro
CCCCC[C@@H](C)[C@H](C)CCC=O	ZINC000015119675	WGMKSPMCYFDKHP-VXGBXAGGSA-N	184.323	3.818	30	10	AHEE	biogenic,in-vitro
CCCCC[C@H](C)[C@H](C)CCC=O	ZINC000015119676	WGMKSPMCYFDKHP-NWDGAFQWSA-N	184.323	3.818	30	10	AHEE	biogenic,in-vitro
O=CC1CCCCCCCCCC1	ZINC000028219563	QXFKYWUVOXBSFV-UHFFFAOYSA-N	182.307	3.716	30	10	AHEE	
[N-]=[N+]=Nc1ccc(N=[N+]=[N-])cc1	ZINC000031284471	QNSQTJHTVQSWFR-UHFFFAOYSA-N	160.140	3.570	30	10	AHEE	
Cc1cc(C)c(N=[N+]=[N-])c(C)c1	ZINC000031477254	YNOHHRQEKATAMQ-UHFFFAOYSA-N	161.208	3.554	30	10	AHEE	
CC(C)(C)Oc1cccc(CCl)c1	ZINC000032134066	YAQRKOUJVDPCMZ-UHFFFAOYSA-N	198.693	3.603	30	10	AHEE	
C=C1CCCC(C)(C)[C@H]1CCCC=O	ZINC000032215190	LEXVMOJLXLEPJE-LBPRGKRZSA-N	194.318	3.738	30	10	AHEE	
C=C1CCCC(C)(C)[C@@H]1CCCC=O	ZINC000032215193	LEXVMOJLXLEPJE-GFCCVEGCSA-N	194.318	3.738	30	10	AHEE	
O=CCCCCCCCCCCF	ZINC000033648832	KOIFPXPVWLMRMI-UHFFFAOYSA-N	188.286	3.666	30	10	AHEE	
C=NC(CCC)(CCC)CCC	ZINC000033853053	LTSABTPAOZFBSA-UHFFFAOYSA-N	169.312	3.826	30	10	AHEE	
CCCCCC1CCC(CC=O)CC1	ZINC000034203620	PCAYLZGYISOBSR-UHFFFAOYSA-N	196.334	3.962	30	10	AHEE	
CCCCCC(C=O)CCCCC	ZINC000034211721	QRYMWDVGBCPJKI-UHFFFAOYSA-N	184.323	3.962	30	10	AHEE	
CCCCCC[C@H](C=O)CCC	ZINC000034211722	XBJWSCVUINDBFF-LLVKDONJSA-N	170.296	3.572	30	10	AHEE	
CCCCCC[C@@H](C=O)CCC	ZINC000034211723	XBJWSCVUINDBFF-NSHDSACASA-N	170.296	3.572	30	10	AHEE	
CC(C)(C)C=C=C(CC=O)C(C)(C)C	ZINC000034216679	JATVAJARVHQQNU-UHFFFAOYSA-N	194.318	3.749	30	10	AHEE	
CCCCCC1CCC(C=O)CC1	ZINC000034223998	QFFSAGSUDNLFFK-UHFFFAOYSA-N	182.307	3.572	30	10	AHEE	
C[C@H](Cl)c1ccnc2ccccc21	ZINC000034240179	MCMXEYRHRXGSGI-QMMMGPOBSA-N	191.661	3.535	30	10	AHEE	
C[C@@H](Cl)c1ccnc2ccccc21	ZINC000034240180	MCMXEYRHRXGSGI-MRVPVSSYSA-N	191.661	3.535	30	10	AHEE	
CC(C)/N=C/C(C)(C)CCCCl	ZINC000034256969	AAFZLQPLVZXRMB-XYOKQWHBSA-N	189.730	3.511	30	10	AHEE	
[N-]=[N+]=Nc1cccc(N=[N+]=[N-])c1	ZINC000034320272	XNRIPCDSMGRSPE-UHFFFAOYSA-N	160.140	3.570	30	10	AHEE	
CCCCC(C)(C=O)CCCC	ZINC000034407932	JDIRFXNSZBKQKU-UHFFFAOYSA-N	170.296	3.572	30	10	AHEE	
CC(C)(C)[C@H]1CC=C(CCC=O)CC1	ZINC000034484723	WGWWNPFQPHLSIM-LBPRGKRZSA-N	194.318	3.738	30	10	AHEE	
CC(C)(C)[C@@H]1CC=C(CCC=O)CC1	ZINC000034484724	WGWWNPFQPHLSIM-GFCCVEGCSA-N	194.318	3.738	30	10	AHEE	
[N-]=[N+]=Nc1c(C=O)ccc2ccccc21	ZINC000034501415	QJAZRYYYLWZRNE-UHFFFAOYSA-N	197.197	3.594	30	10	AHEE	
O=C[C@@H]1CC/C=C\CC/C=C\CCC1	ZINC000034534566	OAPGEXRXFPLLLJ-OMFMRWGBSA-N	192.302	3.658	30	10	AHEE	
