smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCCN=C=C(CC)CCCC	ZINC000001594735	KJVLIIGPPAETSD-UHFFFAOYSA-N	181.323	3.983	30	1	AHEF	
CCCCCCCCCC(=O)F	ZINC000002040784	MXNZLCWRQMCSBF-UHFFFAOYSA-N	174.259	3.623	30	1	AHEF	biogenic,in-vitro
C[C@@H]1C[C@H](C(C)(C)C)CC[C@@H]1S	ZINC000005008992	NCFGHEYRESAPEG-BBBLOLIVSA-N	186.364	3.767	30	1	AHEF	
C[C@H]1C[C@H](C(C)(C)C)CC[C@@H]1S	ZINC000005008993	NCFGHEYRESAPEG-AEJSXWLSSA-N	186.364	3.767	30	1	AHEF	
C[C@@H]1C[C@@H](C(C)(C)C)CC[C@@H]1S	ZINC000005008994	NCFGHEYRESAPEG-UTLUCORTSA-N	186.364	3.767	30	1	AHEF	
C[C@H]1C[C@@H](C(C)(C)C)CC[C@@H]1S	ZINC000005008995	NCFGHEYRESAPEG-GUBZILKMSA-N	186.364	3.767	30	1	AHEF	
C/C(CC(C)C)=N\Nc1ccccc1	ZINC000005082751	QAHQKKHQQXFDQO-ACCUITESSA-N	190.290	3.521	30	1	AHEF	
CCCC/C=C\CCCCCC=O	ZINC000013546060	HTUHYXDEKCWDCI-WAYWQWQTSA-N	182.307	3.882	30	1	AHEF	biogenic,in-vitro
CCCC/C=C/CCCCCC=O	ZINC000013546061	HTUHYXDEKCWDCI-AATRIKPKSA-N	182.307	3.882	30	1	AHEF	biogenic,in-vitro
C/C=C\C(=O)C1=C[C@@H](C)CCC1(C)C	ZINC000014822388	OCUCBUXJXISFDG-OMMCCPJFSA-N	192.302	3.514	30	1	AHEF	biogenic,in-vitro
CCCCCC(CCCCC)=NO	ZINC000014825620	HRGRUCGUHMULFW-UHFFFAOYSA-N	185.311	3.977	30	1	AHEF	biogenic,in-vitro
CCCC[C@@H](C)/C=C(\C)C(=O)CC	ZINC000015119696	UMWZFSQFPRJOKA-OYVNLZQHSA-N	182.307	3.738	30	1	AHEF	biogenic,in-vitro
CC/C=C/C=C/CCCCCC=O	ZINC000015146045	QMHYWEQZQADRCD-VNKDHWASSA-N	180.291	3.658	30	1	AHEF	biogenic,in-vitro
C/C=C/C=C/CCCCCCC=O	ZINC000015146047	TYICDYOLAPJHGA-MQQKCMAXSA-N	180.291	3.658	30	1	AHEF	biogenic,in-vitro
C=C/C=C/CCCCCCCC=O	ZINC000015146048	QQGSJQOOBIWRBK-ONEGZZNKSA-N	180.291	3.658	30	1	AHEF	biogenic,in-vitro
CC/C=C/CCCCCCCC=O	ZINC000015146234	QGUDMPDYXLMJNK-ONEGZZNKSA-N	182.307	3.882	30	1	AHEF	biogenic,in-vitro
C/C=C/C(=O)[C@H](CC)CCCCC	ZINC000015204822	HPXBVXXYUWZMOY-FZPLPXEFSA-N	182.307	3.738	30	1	AHEF	biogenic,in-vitro
C/C=C/C(=O)[C@@H](CC)CCCCC	ZINC000015204823	HPXBVXXYUWZMOY-NKLKJHRZSA-N	182.307	3.738	30	1	AHEF	biogenic,in-vitro
CCC/C=C/C(=O)[C@@H](CC)CCC	ZINC000015204827	UJQGKPVTWJPSRA-UQSGXBNBSA-N	182.307	3.738	30	1	AHEF	biogenic,in-vitro
CCC/C=C/C(=O)[C@H](CC)CCC	ZINC000015204828	UJQGKPVTWJPSRA-RJCSOLBVSA-N	182.307	3.738	30	1	AHEF	biogenic,in-vitro
C/C(=N\c1ccccc1)C(C)(C)C	ZINC000017059791	JMAYGWLEUGWVPG-JLHYYAGUSA-N	175.275	3.825	30	1	AHEF	
Cc1cccc2c1C1=C(CCCC1)C2=O	ZINC000026254694	FYORTQUIUKLDTP-UHFFFAOYSA-N	198.265	3.519	30	1	AHEF	
CCC(CC)=NC1CCCCC1	ZINC000031308407	HLLIMVQANSQDRE-UHFFFAOYSA-N	167.296	3.580	30	1	AHEF	
ON=C1CCCCCCCCCC1	ZINC000032184054	PIQAMSTUBSWVEN-UHFFFAOYSA-N	183.295	3.731	30	1	AHEF	
Cc1cccc(C)c1/N=C/c1ccco1	ZINC000033604911	BBTZBLUAUOIJAB-NTEUORMPSA-N	199.253	3.647	30	1	AHEF	
CC/C=C\CCCCCCCC=O	ZINC000033952225	QGUDMPDYXLMJNK-ARJAWSKDSA-N	182.307	3.882	30	1	AHEF	
C/C(=N\N=C(/C)C(C)(C)C)C(C)(C)C	ZINC000034611693	MYKADEMIRVFALV-UTLPMFLDSA-N	196.338	3.915	30	1	AHEF	
CC(C)=CC[C@]1(C)CCC=C(C)C1=O	ZINC000035855005	STTLEAXLPNIELU-ZDUSSCGKSA-N	192.302	3.658	30	1	AHEF	
CC(C)=CC[C@@]1(C)CCC=C(C)C1=O	ZINC000035855007	STTLEAXLPNIELU-CYBMUJFWSA-N	192.302	3.658	30	1	AHEF	
CCCCCO/C=N/c1ccccc1	ZINC000037628447	PSBCASGKJLBGQT-ACCUITESSA-N	191.274	3.553	30	1	AHEF	
CC(C)=C[C@@H]1C(=O)C=C(C)CC1(C)C	ZINC000038251657	HSZOGYBQUPYKFC-LLVKDONJSA-N	192.302	3.514	30	1	AHEF	
CC(C)=C[C@H]1C(=O)C=C(C)CC1(C)C	ZINC000038251658	HSZOGYBQUPYKFC-NSHDSACASA-N	192.302	3.514	30	1	AHEF	
CCCCC(=O)/C=C(/C)C(C)(C)C	ZINC000038950102	HMLMWQGARVBHMJ-KTKRTIGZSA-N	182.307	3.738	30	1	AHEF	
CC(C)=Nc1ccc(N=C(C)C)cc1	ZINC000039039025	ZTCMMZADXYLQCB-UHFFFAOYSA-N	188.274	3.911	30	1	AHEF	
ON=C1CCC(C2CCCCC2)CC1	ZINC000039039255	GSEOFSRUHJDASI-UHFFFAOYSA-N	195.306	3.587	30	1	AHEF	
CC(/C=N/C(C)C)=C\c1ccccc1	ZINC000039119762	DNYYXGDDCPRMKF-USTLKGCXSA-N	187.286	3.569	30	1	AHEF	
CCC/C(CC)=N/C1CCCCC1	ZINC000039406691	ZHQFIEOXYFLQDR-ACCUITESSA-N	181.323	3.970	30	1	AHEF	
CCCC/C=C\C=C\CCCC=O	ZINC000044135119	LDQDYNHCLZNOFB-IGTJQSIKSA-N	180.291	3.658	30	1	AHEF	
CCCCCCCC/C=C/C(C)=O	ZINC000049780816	RWPQRGZSYAYENX-ZHACJKMWSA-N	182.307	3.882	30	1	AHEF	
CCCCC/C=C/CBr	ZINC000051943833	WFPIZALUFFTDFF-VOTSOKGWSA-N	191.112	3.518	30	1	AHEF	
CC/C=C\C=C\CCCCCC=O	ZINC000059725464	QMHYWEQZQADRCD-DNVGVPOPSA-N	180.291	3.658	30	1	AHEF	
C/C=C\C=C\CCCCCCC=O	ZINC000059725466	TYICDYOLAPJHGA-AWYLAFAOSA-N	180.291	3.658	30	1	AHEF	
CCCCCC/C=C\CCCC=O	ZINC000059725472	MXYKXSMSECVABY-FPLPWBNLSA-N	182.307	3.882	30	1	AHEF	
C=C/C=C\CCCCCCCC=O	ZINC000059725477	QQGSJQOOBIWRBK-ARJAWSKDSA-N	180.291	3.658	30	1	AHEF	
C/C=C/C=C\CCCCCCC=O	ZINC000059725480	TYICDYOLAPJHGA-IAROGAJJSA-N	180.291	3.658	30	1	AHEF	
CCCC/C=C\C=C/CCCC=O	ZINC000059725485	LDQDYNHCLZNOFB-ISTTXYCBSA-N	180.291	3.658	30	1	AHEF	
CCC/C=C/C/C=C/C=C/C=C/C#N	ZINC000073277665	YSWIUZAZWHXNBC-YLEPRARLSA-N	187.286	3.925	30	1	AHEF	
CCCCCC/C=C/CCCC=O	ZINC000079408945	MXYKXSMSECVABY-BQYQJAHWSA-N	182.307	3.882	30	1	AHEF	
N#Cc1ccccc1N=C1CCCCC1	ZINC000081147170	QJFLMSIIIWKFDA-UHFFFAOYSA-N	198.269	3.595	30	1	AHEF	
O=C1CCCC/C1=C\C1CCCCC1	ZINC000083982508	JFFUVFUXWNKVNW-ZRDIBKRKSA-N	192.302	3.636	30	1	AHEF	
CCCc1ccc(CCCS)cc1	ZINC000084455042	SUZCHHQIPLJWEJ-UHFFFAOYSA-N	194.343	3.502	30	1	AHEF	
CCCSc1ccc(CS)cc1	ZINC000084906364	AOQRYRBDZWGXDN-UHFFFAOYSA-N	198.356	3.619	30	1	AHEF	
CCSc1ccc(C)cc1CS	ZINC000084908930	IPOLQAIDSBVLAX-UHFFFAOYSA-N	198.356	3.537	30	1	AHEF	
Cc1cc(C)c(N=C=S)cc1Cl	ZINC000084914931	JRJZBQRFKCQFFT-UHFFFAOYSA-N	197.690	3.691	30	1	AHEF	
Cc1cc(Cl)c(N=C=S)cc1C	ZINC000084916823	JBBFWRWNZZFVJD-UHFFFAOYSA-N	197.690	3.691	30	1	AHEF	
CCc1ccc(N=C=S)c(Cl)c1	ZINC000084916903	DTHDOBMQZGDFFC-UHFFFAOYSA-N	197.690	3.637	30	1	AHEF	
Cc1ccc2ccccc2c1N=C=S	ZINC000084917089	SFBHQNMUADYHOF-UHFFFAOYSA-N	199.278	3.883	30	1	AHEF	
Cc1ccc2ccccc2c1CS	ZINC000084917090	RGBRWARTFBHZRM-UHFFFAOYSA-N	188.295	3.578	30	1	AHEF	
Cc1ccc(N=C=S)c2ccccc12	ZINC000084917167	LHODZKGDLBEDAG-UHFFFAOYSA-N	199.278	3.883	30	1	AHEF	
Cc1ccc(CS)c2ccccc12	ZINC000084917168	KCTLVNOHXVNJFH-UHFFFAOYSA-N	188.295	3.578	30	1	AHEF	
CCCCCCC/C=C/C(=O)Cl	ZINC000085936748	OIVIDVADCZVCFF-CMDGGOBGSA-N	188.698	3.669	30	1	AHEF	biogenic,in-vitro
CC(C)CC1=CC[C@H](C(C)C)CC1=O	ZINC000085947902	RRVUWHZNUXPZBP-NSHDSACASA-N	194.318	3.594	30	1	AHEF	endogenous,in-man
CC(C)CC1=CC[C@@H](C(C)C)CC1=O	ZINC000085947905	RRVUWHZNUXPZBP-LLVKDONJSA-N	194.318	3.594	30	1	AHEF	endogenous,in-man
CCCCCCCCCC/C=N/O	ZINC000085976773	FQMJEUKFDVUNTP-VAWYXSNFSA-N	185.311	3.977	30	1	AHEF	biogenic,in-vitro
CCCCCCCCC/C(C)=N/O	ZINC000085976813	AXUKJPKWVKSTEY-VAWYXSNFSA-N	185.311	3.977	30	1	AHEF	biogenic,in-vitro
CCCCCCC/C(CCC)=N/O	ZINC000085976822	SOWMVKFCDONINC-VAWYXSNFSA-N	185.311	3.977	30	1	AHEF	biogenic,in-vitro
CC[C@@H]1CCC[C@H](S)[C@@H]1CC	ZINC000090415297	KXCGPWBOGYEXGV-BBBLOLIVSA-N	172.337	3.521	30	1	AHEF	
CC[C@H]1[C@@H](S)CCC[C@@H]1CC	ZINC000090415298	KXCGPWBOGYEXGV-AEJSXWLSSA-N	172.337	3.521	30	1	AHEF	
CC[C@@H]1CCC[C@@H](S)[C@@H]1CC	ZINC000090415299	KXCGPWBOGYEXGV-OPRDCNLKSA-N	172.337	3.521	30	1	AHEF	
CC[C@H]1[C@H](S)CCC[C@@H]1CC	ZINC000090415300	KXCGPWBOGYEXGV-IVZWLZJFSA-N	172.337	3.521	30	1	AHEF	
CCC[C@H](SC#N)c1ccccc1	ZINC000090416283	YKUSUPKJEWQZQH-NSHDSACASA-N	191.299	3.742	30	1	AHEF	
CCC[C@@H](SC#N)c1ccccc1	ZINC000090416284	YKUSUPKJEWQZQH-LLVKDONJSA-N	191.299	3.742	30	1	AHEF	
CCC[C@H]1CC(=O)C2=C(CCCC2)C1	ZINC000090423567	APJCQXDJXMVDDN-SNVBAGLBSA-N	192.302	3.636	30	1	AHEF	
CCC[C@@H]1CC(=O)C2=C(CCCC2)C1	ZINC000090423569	APJCQXDJXMVDDN-JTQLQIEISA-N	192.302	3.636	30	1	AHEF	
CCCCC(CC)(CC)N=C=S	ZINC000090427165	KNBYLCUGXWNUDU-UHFFFAOYSA-N	185.336	3.838	30	1	AHEF	
CCCCC(CC)(CC)SC#N	ZINC000090427307	VWXNIGVQJGXWSW-UHFFFAOYSA-N	185.336	3.950	30	1	AHEF	
