smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
c1cc2ssc3cccc(c1)c23	ZINC000000020827	NDOFGUDEKQECDN-UHFFFAOYSA-N	190.292	4.116	0	50	AIAA	
Cc1ccc(-c2ccc(C)s2)s1	ZINC000000389930	DKHDQTBBXQMFPP-UHFFFAOYSA-N	194.324	4.093	0	50	AIAA	
Clc1ccc2cc(Cl)ccc2c1	ZINC000000406200	YCFUHBHONRJFHI-UHFFFAOYSA-N	197.064	4.147	0	50	AIAA	
c1cc2ccc3ccsc3c2s1	ZINC000000480725	CWJAUGSFNRQHAZ-UHFFFAOYSA-N	190.292	4.116	0	50	AIAA	
Cc1cc(-c2csc(C)c2)cs1	ZINC000000480739	BGFOQOAINPSCOG-UHFFFAOYSA-N	194.324	4.093	0	50	AIAA	
Clc1ccc(-c2ccccc2)cc1	ZINC000000968249	FPWNLURCHDRMHC-UHFFFAOYSA-N	188.657	4.007	0	50	AIAA	in-vitro
CC(C)(C)c1ccc(C(C)(C)C)cc1	ZINC000000968669	OOWNNCMFKFBNOF-UHFFFAOYSA-N	190.330	4.282	0	50	AIAA	
Cc1cc(C2=CCCCC2)cs1	ZINC000000984446	WKZKNVRENVHKQX-UHFFFAOYSA-N	178.300	4.014	0	50	AIAA	
Cc1cccc2c1ccc1ccccc12	ZINC000001000251	DOWJXOHBNXRUOD-UHFFFAOYSA-N	192.261	4.301	0	50	AIAA	biogenic,in-vitro
C/C(=C/c1ccccc1)c1ccccc1	ZINC000001000252	OVZXISBUYCEVEV-SEYXRHQNSA-N	194.277	4.247	0	50	AIAA	
CC=C(c1ccccc1)c1ccccc1	ZINC000001019824	KYVBUUNCHXRYOS-UHFFFAOYSA-N	194.277	4.138	0	50	AIAA	
CC=C=C1CCC(c2ccccc2)CC1	ZINC000001020176	AHTVCNROYSOTGS-UHFFFAOYSA-N	198.309	4.446	0	50	AIAA	
Cc1ccc(Oc2ccc(C)cc2)cc1	ZINC000001044396	YWYHGNUFMPSTTR-UHFFFAOYSA-N	198.265	4.096	0	50	AIAA	
c1cc2cc3ccccc3cc2s1	ZINC000001044398	CYKIHIBNSFRKQP-UHFFFAOYSA-N	184.263	4.055	0	50	AIAA	
CC(C)(C)c1ccc2ccccc2[o+]1	ZINC000001214684	OSFDAOIHNHSZCM-UHFFFAOYSA-N	187.262	4.011	0	50	AIAA	
Cc1cscc1C1CCCCC1	ZINC000001442955	UBNBPEQRHOIIMO-UHFFFAOYSA-N	180.316	4.104	0	50	AIAA	
c1ccc2c(c1)sc1ccccc12	ZINC000001482032	IYYZUPMFVPLQIF-UHFFFAOYSA-N	184.263	4.055	0	50	AIAA	in-man,metabolite
c1ccc(-c2ccc(C3CC3)cc2)cc1	ZINC000001506386	XXIZASFJSZDZDT-UHFFFAOYSA-N	194.277	4.231	0	50	AIAA	
Clc1cccc2c(Cl)cccc12	ZINC000001512320	ZBQZXTBAGBTUAD-UHFFFAOYSA-N	197.064	4.147	0	50	AIAA	
c1c2ccccc2[nH]c1C1CCCCC1	ZINC000001519059	KAKRLZGEKPHQCO-UHFFFAOYSA-N	199.297	4.216	0	50	AIAA	
CCCCCCCCCCCCCN	ZINC000001545439	ABVVEAHYODGCLZ-UHFFFAOYSA-N	199.382	4.256	0	50	AIAA	in-vitro
Cc1ccc2cc3ccccc3cc2c1	ZINC000001562044	GYMFBYTZOGMSQJ-UHFFFAOYSA-N	192.261	4.301	0	50	AIAA	biogenic,in-vitro
Cc1ccc2c(ccc3ccccc32)c1	ZINC000001570233	KANLOADZXMMCQA-UHFFFAOYSA-N	192.261	4.301	0	50	AIAA	
CCCCCCCCC(C)C	ZINC000001571092	CNPVJWYWYZMPDS-UHFFFAOYSA-N	156.313	4.393	0	50	AIAA	biogenic,in-man
CCCCCC#CCCCCC	ZINC000001571094	IHPFQAOOSAGSPN-UHFFFAOYSA-N	166.308	4.150	0	50	AIAA	
Cc1cc(C(C)C)cc(C(C)C)c1	ZINC000001574341	SOALUUXENHDLMW-UHFFFAOYSA-N	176.303	4.242	0	50	AIAA	
Clc1ccc2ccccc2c1Cl	ZINC000001575721	MOXLHAPKZWTHEX-UHFFFAOYSA-N	197.064	4.147	0	50	AIAA	
Clc1ccc(Cl)c2ccccc12	ZINC000001575722	JDPKCYMVSKDOGS-UHFFFAOYSA-N	197.064	4.147	0	50	AIAA	
CCCCCCCCCCCC#N	ZINC000001577040	VXCUURYYWGCLIH-UHFFFAOYSA-N	181.323	4.431	0	50	AIAA	biogenic,in-vitro
Cc1cccc2ccc3ccccc3c12	ZINC000001577333	LOCGAKKLRVLQAM-UHFFFAOYSA-N	192.261	4.301	0	50	AIAA	
CCCCCCCCCCCN(C)C	ZINC000001584580	MMWFTWUMBYZIRZ-UHFFFAOYSA-N	199.382	4.079	0	50	AIAA	
Cc1ccc(C(C)C)c2c1CC[C@H]2C	ZINC000001589736	BQZSSJAZUGLPOE-LLVKDONJSA-N	188.314	4.168	0	50	AIAA	
CC(C)(C)c1ccc2ccccc2c1	ZINC000001592371	MCEORGGPAKTORV-UHFFFAOYSA-N	184.282	4.137	0	50	AIAA	
Cc1c2ccccc2cc2ccccc21	ZINC000001593348	CPGPAVAKSZHMBP-UHFFFAOYSA-N	192.261	4.301	0	50	AIAA	in-vitro
