smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Fc1cc2ccccc2c2ccccc12	ZINC000001569645	ACVPCMDDAOQHQS-UHFFFAOYSA-N	196.224	4.132	0	40	AIAB	
Clc1ccc(C2=CCCCC2)cc1	ZINC000001574967	PQQHLHBKGIWDLD-UHFFFAOYSA-N	192.689	4.297	0	40	AIAB	
CCCCCCCCCC(=O)C(C)C	ZINC000001589694	NBWLKCHXMMMNLN-UHFFFAOYSA-N	198.350	4.352	0	40	AIAB	
CCCC[C@H](CC)CCC	ZINC000001602839	NRJUFUBKIFIKFI-SNVBAGLBSA-N	142.286	4.003	0	40	AIAB	
C=Cc1c(C)c(C)c(C=C)c(C)c1C	ZINC000001621293	SQMFCDUUPFBVQS-UHFFFAOYSA-N	186.298	4.206	0	40	AIAB	
CCCCSCSCCCC	ZINC000001621624	OESNWCOMTJFAIL-UHFFFAOYSA-N	192.393	4.011	0	40	AIAB	
C1=C(c2ccccc2)[C@H]2CCCC[C@@H]2C1	ZINC000001621898	NVDFIBQDRRDTDP-KGLIPLIRSA-N	198.309	4.280	0	40	AIAB	
C1=C(c2ccccc2)[C@@H]2CCCC[C@@H]2C1	ZINC000001621899	NVDFIBQDRRDTDP-ZIAGYGMSSA-N	198.309	4.280	0	40	AIAB	
C1=C(c2ccccc2)[C@H]2CCCC[C@H]2C1	ZINC000001621900	NVDFIBQDRRDTDP-KBPBESRZSA-N	198.309	4.280	0	40	AIAB	
C1=C(c2ccccc2)[C@@H]2CCCC[C@H]2C1	ZINC000001621901	NVDFIBQDRRDTDP-UONOGXRCSA-N	198.309	4.280	0	40	AIAB	
CCCCCC/C(C)=C/CCC(C)=O	ZINC000001633879	DLYOUFNFVBKPEV-ZRDIBKRKSA-N	196.334	4.272	0	40	AIAB	
c1ccc(CCC2=CCCCC2)cc1	ZINC000001646267	APWDPJUVRJERLI-UHFFFAOYSA-N	186.298	4.120	0	40	AIAB	
