smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC=C1c2ccccc2-c2ccccc21	ZINC000001696177	OFOJRCNUMYVCSD-UHFFFAOYSA-N	192.261	4.119	0	30	AIAC	
CCCC/C=C/C1CCCCC1	ZINC000001765417	BZXPGCFEDHGUBB-RMKNXTFCSA-N	166.308	4.313	0	30	AIAC	
CC(C)Cc1csc2ccccc12	ZINC000002534117	NAAQKMWATRJPAE-UHFFFAOYSA-N	190.311	4.100	0	30	AIAC	
CCCC[C@@H](C)Cc1cccs1	ZINC000002534129	FCKOXLKDTPUZIW-SNVBAGLBSA-N	182.332	4.117	0	30	AIAC	
CCCC[C@H](C)Cc1cccs1	ZINC000007262042	FCKOXLKDTPUZIW-JTQLQIEISA-N	182.332	4.117	0	30	AIAC	
CCc1ccc(/C=C/c2ccccc2)o1	ZINC000034122550	KJKFATHIUYFNIC-CMDGGOBGSA-N	198.265	4.012	0	30	AIAC	
CCC/C=C\c1ccnc2ccccc12	ZINC000034856568	SNCMWBIHQGXVLQ-DAXSKMNVSA-N	197.281	4.048	0	30	AIAC	
C1=C/CCC/C=C\C/C=C\CC/1	ZINC000071795175	STFWPHPXWOGRGD-QJCSMBTFSA-N	162.276	4.009	0	30	AIAC	
C=C(C)CC12CC3CC(CC(C3)C1)C2	ZINC000079031207	OIMTZKRZXWKXOB-UHFFFAOYSA-N	190.330	4.169	0	30	AIAC	
C(=C1CCCCC1)=C1CCCCC1	ZINC000079642955	ZJAAFJVEQXIHAC-UHFFFAOYSA-N	176.303	4.366	0	30	AIAC	
C(=C1CCCCC1)C1CCCCC1	ZINC000081192110	DIVZROYLBQYYRD-UHFFFAOYSA-N	178.319	4.457	0	30	AIAC	
C1CC[C@H]2[C@@H](C1)CC[C@@H]1CCCC[C@@H]12	ZINC000090196556	GNMCGMFNBARSIY-XUXIUFHCSA-N	192.346	4.393	0	30	AIAC	
CCCCCCc1ccc(C)cc1	ZINC000095705280	BCJOBVWKIGRZCW-UHFFFAOYSA-N	176.303	4.118	0	30	AIAC	
CCC(C)(C)c1ccc([CH]Cl)cc1	ZINC000100056178	VVTVJQHDJFXMRO-UHFFFAOYSA-N	195.713	4.123	0	30	AIAC	
C1CC[C@@H]2C[C@H]3CCCC[C@@H]3C[C@H]2C1	ZINC000100938532	GVJFFQYXVOJXFI-AAVRWANBSA-N	192.346	4.393	0	30	AIAC	
C1=C/CC/C=C\CCC/C=C\C/1	ZINC000101490526	STFWPHPXWOGRGD-VTIXUPGESA-N	162.276	4.009	0	30	AIAC	
CCCCCCC[C@@H]1CCCC(=O)C1	ZINC000104802019	KPTRXBDZTZBTQQ-GFCCVEGCSA-N	196.334	4.106	0	30	AIAC	
CCCCCCC[C@H]1CCCC(=O)C1	ZINC000104802024	KPTRXBDZTZBTQQ-LBPRGKRZSA-N	196.334	4.106	0	30	AIAC	
C=CC[C@H]1CC[C@@H](CCCCCC)O1	ZINC000104831311	YPTGFKJVQMIORB-QWHCGFSZSA-N	196.334	4.081	0	30	AIAC	
C=CC[C@H]1CC[C@H](CCCCCC)O1	ZINC000104831314	YPTGFKJVQMIORB-STQMWFEESA-N	196.334	4.081	0	30	AIAC	
C=CC[C@@H]1CC[C@@H](CCCCCC)O1	ZINC000104831318	YPTGFKJVQMIORB-CHWSQXEVSA-N	196.334	4.081	0	30	AIAC	
C=CC[C@@H]1CC[C@H](CCCCCC)O1	ZINC000104831322	YPTGFKJVQMIORB-OLZOCXBDSA-N	196.334	4.081	0	30	AIAC	
CCCCCCCCc1cocc1C	ZINC000104834185	WLGVJUSITPPNKM-UHFFFAOYSA-N	194.318	4.491	0	30	AIAC	
CCCCC=C1CCCCC1	ZINC000104837058	DOVNMMSNHCGVGX-UHFFFAOYSA-N	152.281	4.067	0	30	AIAC	
C(#CC1CCCCC1)C1CCCCC1	ZINC000104837321	PLSMLGKJCKKEDA-UHFFFAOYSA-N	190.330	4.150	0	30	AIAC	
CCCCCCCc1coc(C)c1	ZINC000104837362	PKPKXUDRJRTRJU-UHFFFAOYSA-N	180.291	4.101	0	30	AIAC	
CC(C)=CCC/C(C)=C/c1ccco1	ZINC000104837366	BUTXWKGGXXXQRH-ZRDIBKRKSA-N	190.286	4.429	0	30	AIAC	
C=CC1(C(C)(C)C)CCCCC1	ZINC000104837723	PVKWRSGCXUYFMZ-UHFFFAOYSA-N	166.308	4.169	0	30	AIAC	
