smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC(C)(C)c1cscc1C(C)(C)C	ZINC000002011266	MVJIADFSQHXQBL-UHFFFAOYSA-N	196.359	4.343	0	20	AIAD	
Cc1ccc2c(c1)[C@@H](C)c1ccccc1-2	ZINC000002015812	GCNYNTICGFOVMY-NSHDSACASA-N	194.277	4.127	0	20	AIAD	
Cc1ccc2c(c1)[C@H](C)c1ccccc1-2	ZINC000002015813	GCNYNTICGFOVMY-LLVKDONJSA-N	194.277	4.127	0	20	AIAD	
Cc1cccc2c1[C@@H](C)c1ccccc1-2	ZINC000002018200	BNGCFLDEAHJKPE-NSHDSACASA-N	194.277	4.127	0	20	AIAD	
Cc1cccc2c1[C@H](C)c1ccccc1-2	ZINC000002018201	BNGCFLDEAHJKPE-LLVKDONJSA-N	194.277	4.127	0	20	AIAD	
Cc1cccc(/C=C/c2ccccc2)c1	ZINC000002019352	BRFDXZHUQCOPKE-ZHACJKMWSA-N	194.277	4.165	0	20	AIAD	
CCC[C@H]1CCCC[C@@H]1CCC	ZINC000002507861	ABNVRGNXKSTEOK-RYUDHWBXSA-N	168.324	4.393	0	20	AIAD	
CCCC[C@H]1CCCC[C@@H]1C	ZINC000002507862	OYUOZGGBVVMSQC-QWRGUYRKSA-N	154.297	4.003	0	20	AIAD	
CC(C)C[C@H]1C[C@@H](C)CC[C@@H]1C	ZINC000002528245	ZYJPKZNMMTYTPA-SRVKXCTJSA-N	168.324	4.105	0	20	AIAD	
CC(C)CCC[C@H]1CCC[C@@H]1C	ZINC000002545213	YWCSZNJUSYMHHA-RYUDHWBXSA-N	168.324	4.249	0	20	AIAD	
C/C=C/CCCCC/C=C/C	ZINC000002563440	PRMSCQVKNUMPJA-GGWOSOGESA-N	152.281	4.089	0	20	AIAD	
CCCCC(CC)CCCC	ZINC000002564097	QPOVZYGNFWRMJE-UHFFFAOYSA-N	156.313	4.393	0	20	AIAD	
CCCCCCC(CC)CC	ZINC000002564112	FKJSIWPQZCKMIL-UHFFFAOYSA-N	156.313	4.393	0	20	AIAD	
CCCCCCC[C@H](C)CC	ZINC000002564116	JJRUZTXRDDMYGM-LLVKDONJSA-N	156.313	4.393	0	20	AIAD	biogenic,in-man
CCC#CCCCCCCCC	ZINC000002564127	ZFAGQZXKTQFQLE-UHFFFAOYSA-N	166.308	4.150	0	20	AIAD	
C=CCC/C=C/SSCCC	ZINC000002568160	OCAKZZIVLPNLHA-VQHVLOKHSA-N	188.361	4.258	0	20	AIAD	
C=CCCCCCCCCCCCO	ZINC000002568356	AUSVLRIDVGJNPA-UHFFFAOYSA-N	198.350	4.066	0	20	AIAD	
CCP(/C=C/c1ccccc1)CC	ZINC000002577216	UWGBGKUWTFFTKO-ZHACJKMWSA-N	192.242	4.179	0	20	AIAD	
Cc1csc(-c2cc(C)cs2)c1	ZINC000002580742	AZNMTBZCSAVEMZ-UHFFFAOYSA-N	194.324	4.093	0	20	AIAD	
Cc1ccc(C)c2c(C)ccc(C)c12	ZINC000002583706	DWUSGRRPJCRNCI-UHFFFAOYSA-N	184.282	4.073	0	20	AIAD	
Cc1cc(C)c2cc(C)cc(C)c2c1	ZINC000002583707	DJPXLDQUUDRRJC-UHFFFAOYSA-N	184.282	4.073	0	20	AIAD	
Cc1cc(C)c2cc(C)c(C)cc2c1	ZINC000002583708	WGYHLEAARAGHPX-UHFFFAOYSA-N	184.282	4.073	0	20	AIAD	
Cc1cc(C)c2c(C)cc(C)cc2c1	ZINC000002583709	XPWDLAAFZFWLKB-UHFFFAOYSA-N	184.282	4.073	0	20	AIAD	
Cc1cc(C)c2c(C)ccc(C)c2c1	ZINC000002600038	NQLZSSMYYULSFD-UHFFFAOYSA-N	184.282	4.073	0	20	AIAD	
CCCCCCCCC(=O)C(C)(C)C	ZINC000003070209	UMOAPENYQAYRQB-UHFFFAOYSA-N	198.350	4.352	0	20	AIAD	
Cc1cc(-c2ccccc2)c(C)s1	ZINC000004204114	PRFVRPHTGGFNSR-UHFFFAOYSA-N	188.295	4.032	0	20	AIAD	
C=CCCCCCCCCCC(C)=O	ZINC000014772227	UYCZPLKICNDOCL-UHFFFAOYSA-N	196.334	4.272	0	20	AIAD	biogenic,in-vitro
