smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1cccc2cc(C3CCCC3)[nH]c21	ZINC000001518964	OTZPUESGSUDYOD-UHFFFAOYSA-N	199.297	4.134	0	10	AIAE	
Cc1ccc2[nH]c(C3CCCC3)cc2c1	ZINC000001519651	WTEXWMYFOYYBQD-UHFFFAOYSA-N	199.297	4.134	0	10	AIAE	
CCCc1c(C)ccc2ccccc21	ZINC000002003056	BTYYGWOCMUPYPQ-UHFFFAOYSA-N	184.282	4.101	0	10	AIAE	
Cc1cc(C)c(-c2ccccc2)c(C)c1	ZINC000002038203	CDKUYUULLQLNFF-UHFFFAOYSA-N	196.293	4.279	0	10	AIAE	
Cc1cccc(C)c1-c1ccsc1	ZINC000002392407	HYFLPPWGPGEGDI-UHFFFAOYSA-N	188.295	4.032	0	10	AIAE	
CC(C)CCC[C@@H]1CCC[C@@H]1C	ZINC000002507842	YWCSZNJUSYMHHA-NWDGAFQWSA-N	168.324	4.249	0	10	AIAE	
CC(C)CCC[C@@H]1CCC[C@H]1C	ZINC000002545192	YWCSZNJUSYMHHA-VXGBXAGGSA-N	168.324	4.249	0	10	AIAE	
CC(C)=CCC[C@@]1(C)CCC[C@@H](C)O1	ZINC000003140987	JQQXMRHBBACIBH-OLZOCXBDSA-N	196.334	4.081	0	10	AIAE	
CC(C)=CCC[C@]1(C)CCC[C@H](C)O1	ZINC000003140988	JQQXMRHBBACIBH-QWHCGFSZSA-N	196.334	4.081	0	10	AIAE	
CC(C)=CCC[C@]1(C)CCC[C@@H](C)O1	ZINC000003140989	JQQXMRHBBACIBH-CHWSQXEVSA-N	196.334	4.081	0	10	AIAE	
CCCCCCc1cc(C)sc1C	ZINC000004204058	DUFPJSOXRHVDOV-UHFFFAOYSA-N	196.359	4.488	0	10	AIAE	
CC(C)=CCC[C@@]1(C)CCC[C@H](C)O1	ZINC000005358357	JQQXMRHBBACIBH-STQMWFEESA-N	196.334	4.081	0	10	AIAE	
c1scc2c1sc1cscc12	ZINC000006091523	ROZYMPBUMVSVHM-UHFFFAOYSA-N	196.321	4.178	0	10	AIAE	
CCCC/C=C/CCCCCCCO	ZINC000014772175	OVELCHRJIBKISD-AATRIKPKSA-N	198.350	4.066	0	10	AIAE	biogenic,in-vitro
C=CCCCCCCCCC[C@@H](C)O	ZINC000014772220	FXLCUSXGVHBSCJ-CYBMUJFWSA-N	198.350	4.064	0	10	AIAE	biogenic,in-vitro
C=CCCCCCCCCC[C@H](C)O	ZINC000014772223	FXLCUSXGVHBSCJ-ZDUSSCGKSA-N	198.350	4.064	0	10	AIAE	biogenic,in-vitro
CC[C@@H](C)c1cccc(C(C)C)c1O	ZINC000028766842	NMTCMJXRNZCLIH-SNVBAGLBSA-N	192.302	4.029	0	10	AIAE	
CC[C@H](C)c1cccc(C(C)C)c1O	ZINC000028766845	NMTCMJXRNZCLIH-JTQLQIEISA-N	192.302	4.029	0	10	AIAE	
CCCCCC[C@@](C)(CCC)NCC	ZINC000032136900	AHYNCYCXDPYVJW-CYBMUJFWSA-N	199.382	4.125	0	10	AIAE	
CCCCCC[C@](C)(CCC)NCC	ZINC000032136901	AHYNCYCXDPYVJW-ZDUSSCGKSA-N	199.382	4.125	0	10	AIAE	
CCCCCSc1cccs1	ZINC000032137251	PMOLPBAEMHMCKW-UHFFFAOYSA-N	186.345	4.030	0	10	AIAE	
CCCCOC[C@@H](CC)CCCC	ZINC000032155050	XIUZCZSOJYCCTG-LBPRGKRZSA-N	186.339	4.020	0	10	AIAE	
CCCCOC[C@H](CC)CCCC	ZINC000032155054	XIUZCZSOJYCCTG-GFCCVEGCSA-N	186.339	4.020	0	10	AIAE	
CCCCC[C@@](CC)(CCC)NCC	ZINC000032157003	SACZZXVTXLCLMD-CYBMUJFWSA-N	199.382	4.125	0	10	AIAE	
CCCCC[C@](CC)(CCC)NCC	ZINC000032157007	SACZZXVTXLCLMD-ZDUSSCGKSA-N	199.382	4.125	0	10	AIAE	
