smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
c1ccc2cc3c(cc2c1)CCCCC3	ZINC000001594166	WKMWUZWJERWDKH-UHFFFAOYSA-N	196.293	4.109	0	1	AIAF	
C/C=C/CCCCCCCC	ZINC000001606154	JOHIXGUTSXXADV-HWKANZROSA-N	154.297	4.313	0	1	AIAF	
c1ccc(CC2CCCCCC2)cc1	ZINC000001674015	ZKDNTNRVYXESDY-UHFFFAOYSA-N	188.314	4.200	0	1	AIAF	
CCCCCCCSCCCC	ZINC000001674081	HYUPOCGXBZUYFY-UHFFFAOYSA-N	188.380	4.490	0	1	AIAF	
C[C@H]1CCCC[C@H]1C1CCCCC1	ZINC000001674250	SRCQYSQCKOUHTG-WCQYABFASA-N	180.335	4.393	0	1	AIAF	
C[C@@H]1CCCC[C@H]1C1CCCCC1	ZINC000001674251	SRCQYSQCKOUHTG-DGCLKSJQSA-N	180.335	4.393	0	1	AIAF	
C[C@H]1CCCC[C@@H]1C1CCCCC1	ZINC000001674252	SRCQYSQCKOUHTG-AAEUAGOBSA-N	180.335	4.393	0	1	AIAF	
C[C@@H]1CCCC[C@@H]1C1CCCCC1	ZINC000001674253	SRCQYSQCKOUHTG-YPMHNXCESA-N	180.335	4.393	0	1	AIAF	
Cc1cccc(C)c1C1=CCCCC1	ZINC000001692034	YHTACPKORDBPNU-UHFFFAOYSA-N	186.298	4.261	0	1	AIAF	
CC1=CC(C)(C)CC(c2ccccc2)=C1	ZINC000001695212	NJDCFTVBNARQLW-UHFFFAOYSA-N	198.309	4.446	0	1	AIAF	
CCCCOCCCC1CCCCC1	ZINC000001696805	PXPPQONLRYQOFE-UHFFFAOYSA-N	198.350	4.164	0	1	AIAF	
C[C@@H]1CC=C2CCCC[C@@]2(C)[C@H]1C	ZINC000001707392	MMFIGNKPSCACPY-MDZLAQPJSA-N	178.319	4.169	0	1	AIAF	
CC(C)[C@H](C)C(C)(C)c1ccccc1	ZINC000001712850	DUOJAKZALAJDAC-LBPRGKRZSA-N	190.330	4.256	0	1	AIAF	
CC1=CCC[C@@]2(C)CCCC[C@]12C	ZINC000001715899	DBKDONIAKMHSHM-CHWSQXEVSA-N	178.319	4.313	0	1	AIAF	
CC1=CCC[C@@]2(C)CCCC[C@@]12C	ZINC000001715900	DBKDONIAKMHSHM-OLZOCXBDSA-N	178.319	4.313	0	1	AIAF	
CC1=CCC[C@]2(C)CCCC[C@@]12C	ZINC000001715902	DBKDONIAKMHSHM-STQMWFEESA-N	178.319	4.313	0	1	AIAF	
C=C1CCC[C@@]2(C)CCCC[C@@]12C	ZINC000001715903	BACAIHKJHLUAIW-OLZOCXBDSA-N	178.319	4.313	0	1	AIAF	
C=C1CCC[C@]2(C)CCCC[C@@]12C	ZINC000001715904	BACAIHKJHLUAIW-STQMWFEESA-N	178.319	4.313	0	1	AIAF	
C=C1CCC[C@@]2(C)CCCC[C@]12C	ZINC000001715905	BACAIHKJHLUAIW-CHWSQXEVSA-N	178.319	4.313	0	1	AIAF	
C=C1CCC[C@]2(C)CCCC[C@]12C	ZINC000001715906	BACAIHKJHLUAIW-QWHCGFSZSA-N	178.319	4.313	0	1	AIAF	
CCCCC(CCC)CCC	ZINC000001716109	VFAMBAFLNKONTN-UHFFFAOYSA-N	156.313	4.393	0	1	AIAF	
C=CSCCCCCCCC	ZINC000001723777	FUQCHGNXIFLYAW-UHFFFAOYSA-N	172.337	4.224	0	1	AIAF	
CCCCCS/C(Cl)=C/Cl	ZINC000001724575	DPWUPSPSDAVXMF-VOTSOKGWSA-N	199.146	4.186	0	1	AIAF	
CC(C1CCCC1)C1CCCC1	ZINC000001724908	XWKIKXOZAGBKSO-UHFFFAOYSA-N	166.308	4.003	0	1	AIAF	
c1ccc(C2=CCCCCCC2)cc1	ZINC000001725360	ZDFZAFZAUTTZCQ-UHFFFAOYSA-N	186.298	4.424	0	1	AIAF	
F/C(=C\c1ccccc1)c1ccccc1	ZINC000001726712	CYYFUQKVNOPWKY-KAMYIIQDSA-N	198.240	4.154	0	1	AIAF	
CCCC/C=C/C=C/CCCC	ZINC000001729064	ZARLDNIZTZBEDV-WGDLNXRISA-N	166.308	4.479	0	1	AIAF	endogenous,in-man
CCCC[C@@](CC)(CC#N)CCC	ZINC000001730860	DFRPGPNGEGQFBD-LBPRGKRZSA-N	181.323	4.287	0	1	AIAF	
CCCCC(C)(CC#N)CCCC	ZINC000001730861	XWDYNRMOUFRWDQ-UHFFFAOYSA-N	181.323	4.287	0	1	AIAF	
CCCC(CC#N)(CCC)CCC	ZINC000001730892	YNAGGBLXBHSSSS-UHFFFAOYSA-N	181.323	4.287	0	1	AIAF	
CC(C)CC/C=C/c1ccccc1	ZINC000001733276	HTGFAAXYUUHEAX-YRNVUSSQSA-N	174.287	4.136	0	1	AIAF	
c1scc2c1ccc1ccccc21	ZINC000001763577	YPEFMQGGABUYFX-UHFFFAOYSA-N	184.263	4.055	0	1	AIAF	
CCC/C=C/CC1CCCCC1	ZINC000001765372	ACVHLITZUWIJDF-GQCTYLIASA-N	166.308	4.313	0	1	AIAF	
CCCC/C=C1\CCC[C@@H](C)C1	ZINC000001765379	RPDYODFMWVFGTH-OYGDSYQHSA-N	166.308	4.313	0	1	AIAF	
CCCC/C=C1/CCC[C@@H](C)C1	ZINC000001765381	RPDYODFMWVFGTH-HQQGHWSLSA-N	166.308	4.313	0	1	AIAF	
CCCC/C=C1\CCC[C@H](C)C1	ZINC000001765382	RPDYODFMWVFGTH-SERMCNLOSA-N	166.308	4.313	0	1	AIAF	
CCCC/C=C1/CCC[C@H](C)C1	ZINC000001765384	RPDYODFMWVFGTH-LCFDYFRESA-N	166.308	4.313	0	1	AIAF	
CCC/C=C/C[C@H](C)[C@H](C)CC	ZINC000001765385	QTRYVJCMJIDKII-DGTDAXKGSA-N	168.324	4.415	0	1	AIAF	
C=C=CCCCCCCCC	ZINC000001765456	OWXPSFAORFVXRJ-UHFFFAOYSA-N	152.281	4.078	0	1	AIAF	
C=CCCCCCCCCCF	ZINC000001846648	QZILBBQFSMKDBU-UHFFFAOYSA-N	172.287	4.263	0	1	AIAF	
CCCC[C@](CC)(CC#N)CCC	ZINC000002035901	DFRPGPNGEGQFBD-GFCCVEGCSA-N	181.323	4.287	0	1	AIAF	
CCCCC/C=C/c1ccccc1	ZINC000002040661	PNLSTDKQAPNMDU-JXMROGBWSA-N	174.287	4.280	0	1	AIAF	
CC(C)[C@@]1(C)CC[C@H](C)[C@H](C)C1	ZINC000002600040	QLLLLIYNMCLMGE-TUAOUCFPSA-N	168.324	4.105	0	1	AIAF	
CCCSP(C(C)C)C(C)C	ZINC000005064305	XYEKABXHSLYTHM-UHFFFAOYSA-N	192.308	4.343	0	1	AIAF	
c1ccc2c(c1)ccc1c[s+]ccc12	ZINC000005105342	RCPRQLWMLZJKBR-UHFFFAOYSA-N	197.282	4.336	0	1	AIAF	
c1ccc2c(c1)ccc1ccc[s+]c12	ZINC000005105343	FGWRFGOLXYRNGQ-UHFFFAOYSA-N	197.282	4.336	0	1	AIAF	
CSC/C=C(\C)CCC=C(C)C	ZINC000005158602	ZXQUDAMFLBJUIK-DHZHZOJOSA-N	184.348	4.042	0	1	AIAF	biogenic,in-vitro
Cc1ccc(Oc2ccccc2C)cc1	ZINC000005781542	WJPVFWSONCRYGL-UHFFFAOYSA-N	198.265	4.096	0	1	AIAF	
Cc1cc(C)cc(Oc2ccccc2)c1	ZINC000006069933	AQPZTEIAYGPWGS-UHFFFAOYSA-N	198.265	4.096	0	1	AIAF	
C=C1CC=C(C)CC[C@@H]2[C@@H]1CC2(C)C	ZINC000008214949	INOSMXBKABLUIL-CHWSQXEVSA-N	190.330	4.335	0	1	AIAF	
C=C1C/C=C(\C)CC[C@H]2[C@@H]1CC2(C)C	ZINC000008681427	INOSMXBKABLUIL-BWDLBIMJSA-N	190.330	4.335	0	1	AIAF	
c1ccc2c(c1)c1c(c3ccccc32)O1	ZINC000013520811	MNDKYWLUKLXTOS-UHFFFAOYSA-N	192.217	4.099	0	1	AIAF	in-vitro
C1CCCCCC2=C(CCCC1)O2	ZINC000013548699	CNZZTNQSGJZTDY-UHFFFAOYSA-N	180.291	4.143	0	1	AIAF	in-vitro
C/C=C/S[C@@H](CC)SSC	ZINC000014590145	MLJHEPZOIZWECP-PTYLAXBQSA-N	194.390	4.001	0	1	AIAF	biogenic,in-man
C/C=C/S[C@H](CC)SSC	ZINC000014590146	MLJHEPZOIZWECP-KNIZRNDPSA-N	194.390	4.001	0	1	AIAF	biogenic,in-man
C/C=C/SS[C@@H](CC)SC	ZINC000014593737	IBBCARUEUHCYHK-KNIZRNDPSA-N	194.390	4.001	0	1	AIAF	biogenic,in-man
C/C=C/SS[C@H](CC)SC	ZINC000014593738	IBBCARUEUHCYHK-PTYLAXBQSA-N	194.390	4.001	0	1	AIAF	biogenic,in-man
CCC/C=C\c1ccc2ccccc2n1	ZINC000014649571	ZAPKXDJGBCUUKL-YWEYNIOJSA-N	197.281	4.048	0	1	AIAF	biogenic,in-vitro
CC/C=C/CCCCCCCCCO	ZINC000014772185	MSSXLNVNZXUONF-ONEGZZNKSA-N	198.350	4.066	0	1	AIAF	biogenic,in-vitro
CC/C=C\CCCCCCC[C@@H](C)O	ZINC000014772193	UQVARQDMXOJMSY-DSYXLKISSA-N	198.350	4.064	0	1	AIAF	biogenic,in-vitro
CC/C=C\CCCCCCC[C@H](C)O	ZINC000014772197	UQVARQDMXOJMSY-ZFDPJTLLSA-N	198.350	4.064	0	1	AIAF	biogenic,in-vitro
C/C=C\CCCCCCCCCCO	ZINC000014772212	VRXBMTCDQIOJAN-IHWYPQMZSA-N	198.350	4.066	0	1	AIAF	biogenic,in-vitro
Cc1cccc(C)c1Oc1ccccc1	ZINC000015120904	LUBUOSHGCFAFRO-UHFFFAOYSA-N	198.265	4.096	0	1	AIAF	biogenic,in-vitro
CCCCCC[C@@H](CC)C(=O)CCC	ZINC000015204815	DVNNCHCOETZLSW-GFCCVEGCSA-N	198.350	4.352	0	1	AIAF	biogenic,in-vitro
CCCCCC[C@H](CC)C(=O)CCC	ZINC000015204816	DVNNCHCOETZLSW-LBPRGKRZSA-N	198.350	4.352	0	1	AIAF	biogenic,in-vitro
CCCCCS/C(Cl)=C\Cl	ZINC000017146409	DPWUPSPSDAVXMF-SREVYHEPSA-N	199.146	4.186	0	1	AIAF	
CCCCc1oc2ccccc2c1C	ZINC000027548771	NUNWCFTXSDTXSI-UHFFFAOYSA-N	188.270	4.084	0	1	AIAF	
CCC/C=C/c1ccc2ccccc2n1	ZINC000028002790	ZAPKXDJGBCUUKL-XBXARRHUSA-N	197.281	4.048	0	1	AIAF	
CCCCCSC1CCCCC1	ZINC000032226492	RKCRLYNCLIKFOM-UHFFFAOYSA-N	186.364	4.243	0	1	AIAF	
Cc1c2cc(C)ccc2[s+](C)c1C	ZINC000033800204	AUJKZPLIPYWGIQ-UHFFFAOYSA-N	191.319	4.051	0	1	AIAF	
C/C=C\SS[C@H](CC)SC	ZINC000033832794	IBBCARUEUHCYHK-FXXDRWHHSA-N	194.390	4.001	0	1	AIAF	
CCCCC/C=C/c1cccs1	ZINC000033975296	DWMIMYVNIYMSOX-SOFGYWHQSA-N	180.316	4.342	0	1	AIAF	
CC(C)(C)C1CCC(CCC#N)CC1	ZINC000034492055	BOKVTYOKFUPCIW-UHFFFAOYSA-N	193.334	4.143	0	1	AIAF	
CC(C)=CCCSc1ccccc1	ZINC000034597071	YWDRRSHEQGWEBD-UHFFFAOYSA-N	192.327	4.135	0	1	AIAF	
CCCCC/C=C(/C=O)CCCCC	ZINC000036466957	KGWAIWASIGYVPL-ACCUITESSA-N	196.334	4.272	0	1	AIAF	
CCCCSC(C)(C)CCC	ZINC000037625588	VDNDPBOJAIOPOG-UHFFFAOYSA-N	174.353	4.098	0	1	AIAF	
CCCCS[C@@H](C)c1ccccc1	ZINC000037625590	ZAXIJOPXRNXSLX-NSHDSACASA-N	194.343	4.281	0	1	AIAF	
CCCCS[C@H](C)c1ccccc1	ZINC000037625591	ZAXIJOPXRNXSLX-LLVKDONJSA-N	194.343	4.281	0	1	AIAF	
CCCCSC1(C)CCCCC1	ZINC000037625593	QDGZLJQDNXPVMJ-UHFFFAOYSA-N	186.364	4.243	0	1	AIAF	
CCC(C)(C)SC1CCCCC1	ZINC000037625606	JOELYWIGCYHBCF-UHFFFAOYSA-N	186.364	4.241	0	1	AIAF	
CCC(C)(CC)Sc1ccccc1	ZINC000037625617	XFAQDKBDYFHOII-UHFFFAOYSA-N	194.343	4.357	0	1	AIAF	
