smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[C@@H](N=[N+]=[N-])c1cccc2ccccc21	ZINC000022064432	CEPCLNPZBGYRDT-SECBINFHSA-N	197.241	4.211	10	20	AICD	
C[C@H](N=[N+]=[N-])c1cccc2ccccc21	ZINC000022064434	CEPCLNPZBGYRDT-VIFPVBQESA-N	197.241	4.211	10	20	AICD	
CCCC[C@H](N=[N+]=[N-])c1ccccc1	ZINC000149421832	USZBWOUIVSUKBW-NSHDSACASA-N	189.262	4.228	10	20	AICD	
CCCC[C@@H](N=[N+]=[N-])c1ccccc1	ZINC000149422053	USZBWOUIVSUKBW-LLVKDONJSA-N	189.262	4.228	10	20	AICD	
C[C@@H](N=[N+]=[N-])c1ccc2ccccc2c1	ZINC000159661076	OYDIIQABGXOBJL-SECBINFHSA-N	197.241	4.211	10	20	AICD	
C[C@H](N=[N+]=[N-])c1ccc2ccccc2c1	ZINC000159661368	OYDIIQABGXOBJL-VIFPVBQESA-N	197.241	4.211	10	20	AICD	
CC[C@H](N=[N+]=[N-])c1ccc(Cl)cc1	ZINC000165882178	BJFXZMPZWXCHDM-VIFPVBQESA-N	195.653	4.101	10	20	AICD	
CCCc1ccc([C@H](C)N=[N+]=[N-])cc1	ZINC000165887525	KAUMAINIFVXNOK-VIFPVBQESA-N	189.262	4.010	10	20	AICD	
CC[C@H](N=[N+]=[N-])c1cccc(Cl)c1	ZINC000165894733	ZJIRJSFMOOGPPX-VIFPVBQESA-N	195.653	4.101	10	20	AICD	
CC(C)c1ccc([C@@H](C)N=[N+]=[N-])cc1	ZINC000165901972	ANEMBWJPQPLYQO-SECBINFHSA-N	189.262	4.181	10	20	AICD	
CC(C)c1ccc([C@H](C)N=[N+]=[N-])cc1	ZINC000165902100	ANEMBWJPQPLYQO-VIFPVBQESA-N	189.262	4.181	10	20	AICD	
CC[C@@H](N=[N+]=[N-])c1cccc(Cl)c1	ZINC000165908198	ZJIRJSFMOOGPPX-SECBINFHSA-N	195.653	4.101	10	20	AICD	
CCc1ccc([C@@H](CC)N=[N+]=[N-])cc1	ZINC000165909320	SDAVNWAYAQOAMZ-LLVKDONJSA-N	189.262	4.010	10	20	AICD	
CCc1ccc([C@H](CC)N=[N+]=[N-])cc1	ZINC000165909430	SDAVNWAYAQOAMZ-NSHDSACASA-N	189.262	4.010	10	20	AICD	
CCCc1ccc([C@@H](C)N=[N+]=[N-])cc1	ZINC000165909660	KAUMAINIFVXNOK-SECBINFHSA-N	189.262	4.010	10	20	AICD	
CC[C@@H](N=[N+]=[N-])c1ccc(Cl)cc1	ZINC000165913672	BJFXZMPZWXCHDM-SECBINFHSA-N	195.653	4.101	10	20	AICD	
