smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C1CCC(/N=N/C2CCCCC2)CC1	ZINC000033791886	UVQGVNLXTFRLNL-BUHFOSPRSA-N	194.322	4.104	10	10	AICE	
CCC[C@@H]1CCC[C@](C)(N=[N+]=[N-])C1	ZINC000034414005	VOLZCHITQVFNSZ-ZJUUUORDSA-N	181.283	4.046	10	10	AICE	
C=C1CCCCC[C@@H]1CCCN=[N+]=[N-]	ZINC000034414721	AXMVIQSFVJGNEN-LLVKDONJSA-N	193.294	4.213	10	10	AICE	
C=C1CCCCC[C@H]1CCCN=[N+]=[N-]	ZINC000034414723	AXMVIQSFVJGNEN-NSHDSACASA-N	193.294	4.213	10	10	AICE	
CC1(C)CC(C)(C)CC(C)(N=[N+]=[N-])C1	ZINC000034450490	MBRDDFYIEYJOBP-UHFFFAOYSA-N	195.310	4.292	10	10	AICE	
CCC[C@@H]1CCC[C@@](C)(N=[N+]=[N-])C1	ZINC000034500091	VOLZCHITQVFNSZ-NXEZZACHSA-N	181.283	4.046	10	10	AICE	
CCCCC(CCCC)N=[N+]=[N-]	ZINC000034753360	KCFKYBYVQVNLFI-UHFFFAOYSA-N	169.272	4.046	10	10	AICE	
CC[C@@]1(C)C[C@H](C)C[C@@](C)(N=[N+]=[N-])C1	ZINC000038973990	CZZSQSSXKDACEW-GARJFASQSA-N	195.310	4.292	10	10	AICE	
CC[C@@H]1CC(C)(C)C[C@@](C)(N=[N+]=[N-])C1	ZINC000039018220	WFBNLNVRIGKOEV-KOLCDFICSA-N	195.310	4.292	10	10	AICE	
CC[C@@H]1CC(C)(C)C[C@](C)(N=[N+]=[N-])C1	ZINC000039117474	WFBNLNVRIGKOEV-MWLCHTKSSA-N	195.310	4.292	10	10	AICE	
C=CC[C@@H](CCCCCC)N=[N+]=[N-]	ZINC000136719851	UWQGHSTWNBUXFQ-JTQLQIEISA-N	181.283	4.212	10	10	AICE	
C[C@@H](N=[N+]=[N-])c1cccc2c1CCC=C2	ZINC000137233062	KVOYFHAVYLLPIY-SECBINFHSA-N	199.257	4.017	10	10	AICE	
CC(C)=CCC[C@H](C)CCN=[N+]=[N-]	ZINC000137236183	YSRHILCAYSDFSB-JTQLQIEISA-N	181.283	4.069	10	10	AICE	
CC(C)=CCC[C@@H](C)CCN=[N+]=[N-]	ZINC000137236233	YSRHILCAYSDFSB-SNVBAGLBSA-N	181.283	4.069	10	10	AICE	
CC[C@]1(N=[N+]=[N-])C[C@H](C)CC(C)(C)C1	ZINC000139344344	FXQCTLVHCWSQMH-KOLCDFICSA-N	195.310	4.292	10	10	AICE	
CC[C@@]1(N=[N+]=[N-])C[C@H](C)CC(C)(C)C1	ZINC000139344465	FXQCTLVHCWSQMH-MWLCHTKSSA-N	195.310	4.292	10	10	AICE	
CC[C@]1(N=[N+]=[N-])C[C@@H](C)CC(C)(C)C1	ZINC000139344580	FXQCTLVHCWSQMH-ONGXEEELSA-N	195.310	4.292	10	10	AICE	
CC[C@@]1(N=[N+]=[N-])C[C@@H](C)CC(C)(C)C1	ZINC000139344697	FXQCTLVHCWSQMH-GXSJLCMTSA-N	195.310	4.292	10	10	AICE	
CCCCCCCC[C@@H](C)N=[N+]=[N-]	ZINC000139528600	OEGVUZRCJMFTNK-SNVBAGLBSA-N	183.299	4.436	10	10	AICE	
CCCCCCCC[C@H](C)N=[N+]=[N-]	ZINC000139528738	OEGVUZRCJMFTNK-JTQLQIEISA-N	183.299	4.436	10	10	AICE	
CCCCCCC[C@@H](CC)N=[N+]=[N-]	ZINC000139529091	WLESXEBGEAVBBR-SNVBAGLBSA-N	183.299	4.436	10	10	AICE	
CCCCCCC[C@H](CC)N=[N+]=[N-]	ZINC000139529227	WLESXEBGEAVBBR-JTQLQIEISA-N	183.299	4.436	10	10	AICE	
CCCCCCCC[C@@H](N=[N+]=[N-])OC	ZINC000139786030	DDAXMVWDYPUYRQ-JTQLQIEISA-N	199.298	4.020	10	10	AICE	
CCCCCCCC[C@H](N=[N+]=[N-])OC	ZINC000139786181	DDAXMVWDYPUYRQ-SNVBAGLBSA-N	199.298	4.020	10	10	AICE	
CCCCC(C)(CCCC)N=[N+]=[N-]	ZINC000141726395	PZZDHMUAZGHZEJ-UHFFFAOYSA-N	183.299	4.436	10	10	AICE	
CCCCCC[C@@H](CC)N=[N+]=[N-]	ZINC000143755565	NTYMAHUHXTXMOI-SECBINFHSA-N	169.272	4.046	10	10	AICE	
CCCCCC[C@H](CC)N=[N+]=[N-]	ZINC000143755719	NTYMAHUHXTXMOI-VIFPVBQESA-N	169.272	4.046	10	10	AICE	
CC(C)=CCC[C@H](C)[C@@H](C)CN=[N+]=[N-]	ZINC000149141097	XWSOOFBFCNSDCB-QWRGUYRKSA-N	195.310	4.315	10	10	AICE	
CC(C)=CCC[C@@H](C)[C@@H](C)CN=[N+]=[N-]	ZINC000163446478	XWSOOFBFCNSDCB-MNOVXSKESA-N	195.310	4.315	10	10	AICE	
CC(C)=CCC[C@H](C)[C@H](C)CN=[N+]=[N-]	ZINC000163446576	XWSOOFBFCNSDCB-WDEREUQCSA-N	195.310	4.315	10	10	AICE	
CC(C)=CCC[C@@H](C)[C@H](C)CN=[N+]=[N-]	ZINC000163446717	XWSOOFBFCNSDCB-GHMZBOCLSA-N	195.310	4.315	10	10	AICE	
N=Nc1ccccc1Nc1ccccc1	ZINC000201075088	RRHLQQQTSYZBAN-UHFFFAOYSA-N	197.241	4.093	10	10	AICE	
