smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
ON=C1CCCCCCCCCCC1	ZINC000000163518	SCRFXJBEIINMIC-UHFFFAOYSA-N	197.322	4.121	30	50	AIEA	biogenic,in-vitro
CCCCCCCCCCCC=O	ZINC000001529404	HFJRKMMYBMWEAD-UHFFFAOYSA-N	184.323	4.106	30	50	AIEA	endogenous,in-man
CCCCCCCCCCSC#N	ZINC000001591764	SSHHEEVAWJSEPF-UHFFFAOYSA-N	199.363	4.341	30	50	AIEA	
CCCCCCCCCCCS	ZINC000001672961	CCIDWXHLGNEQSL-UHFFFAOYSA-N	188.380	4.447	30	50	AIEA	
CCCCCCCCCCCl	ZINC000001693271	ZTEHOZMYMCEYRM-UHFFFAOYSA-N	176.731	4.366	30	50	AIEA	in-vitro
ClCCCCCCCCCCl	ZINC000001700005	JMGRNJZUQCEJDB-UHFFFAOYSA-N	197.149	4.195	30	50	AIEA	in-vitro
CCCCCC/C=C1\CCCCC1=O	ZINC000001813573	CSVZOOMJWBCXPP-FMIVXFBMSA-N	194.318	4.026	30	50	AIEA	
CCCCCC/C=C1/CCCCC1=O	ZINC000001813574	CSVZOOMJWBCXPP-XFXZXTDPSA-N	194.318	4.026	30	50	AIEA	
CCCCCCCCCCCCC=O	ZINC000002023332	BGEHHAVMRVXCGR-UHFFFAOYSA-N	198.350	4.496	30	50	AIEA	endogenous,in-man
CCC(C)(C)c1ccc(CCl)cc1	ZINC000002162132	GZSVKIJGGVPFGX-UHFFFAOYSA-N	196.721	4.113	30	50	AIEA	
ClCCCCCCc1ccccc1	ZINC000002560401	RCVNHNOEUMFFDY-UHFFFAOYSA-N	196.721	4.028	30	50	AIEA	in-vitro
C=C(Cl)CCCCCCCCl	ZINC000002567405	YOSLDMVBPIVEPQ-UHFFFAOYSA-N	195.133	4.318	30	50	AIEA	
C=C(C)CCCCCCCCl	ZINC000002567411	BKSRRDDOTAXJBI-UHFFFAOYSA-N	174.715	4.142	30	50	AIEA	
CC(C)(C)[C@@H](CCl)c1ccccc1	ZINC000003075479	FZFNHYFMHDHABI-NSHDSACASA-N	196.721	4.055	30	50	AIEA	
CC(C)(C)[C@H](CCl)c1ccccc1	ZINC000003075480	FZFNHYFMHDHABI-LLVKDONJSA-N	196.721	4.055	30	50	AIEA	
O=CC1CCCCCCCCCCC1	ZINC000005189305	KIYUNVUWDQKWPJ-UHFFFAOYSA-N	196.334	4.106	30	50	AIEA	
CC(C)(C)C[C@H](S)c1ccccc1	ZINC000005283969	YOZNDVJMGKYBDP-NSHDSACASA-N	194.343	4.094	30	50	AIEA	
CC(C)(C)C[C@@H](S)c1ccccc1	ZINC000005283972	YOZNDVJMGKYBDP-LLVKDONJSA-N	194.343	4.094	30	50	AIEA	
[N-]=[N+]=Nc1ccccc1-c1ccccc1	ZINC000013407529	OUMDYYHOXIUBIO-UHFFFAOYSA-N	195.225	4.295	30	50	AIEA	
CCCCCCCCCCS	ZINC000016052462	VTXVGVNLYGSIAR-UHFFFAOYSA-N	174.353	4.057	30	50	AIEA	in-vivo
O=C1/C=C/CCCCCCCCCC1	ZINC000038251704	GPZWCHONRYSILX-PKNBQFBNSA-N	194.318	4.026	30	50	AIEA	
CC(C)CCCCCCCCCC=O	ZINC000038605440	OUFCBJZGDJFSIK-UHFFFAOYSA-N	198.350	4.352	30	50	AIEA	in-vitro
N#C/C1=C/CCCCCCCCCC1	ZINC000039246596	FVADXZSWPCBVPT-JLHYYAGUSA-N	191.318	4.351	30	50	AIEA	
CCc1ccc([C@H](Cl)CC)s1	ZINC000040265539	LZVUXGBXKLWDFZ-MRVPVSSYSA-N	188.723	4.000	30	50	AIEA	
CCc1ccc([C@@H](Cl)CC)s1	ZINC000040265540	LZVUXGBXKLWDFZ-QMMMGPOBSA-N	188.723	4.000	30	50	AIEA	
CC(C)=C(C#N)c1ccc(C(C)C)cc1	ZINC000041209954	FVMYOYCDNIIVPI-UHFFFAOYSA-N	199.297	4.127	30	50	AIEA	
CC/C=C(\C#N)c1ccc(C(C)C)cc1	ZINC000041209956	HDILFGNCVAAALD-LHHJGKSTSA-N	199.297	4.127	30	50	AIEA	
C/C=C(\C#N)c1ccc([C@H](C)CC)cc1	ZINC000041209984	PNKTVWBHQHNPTH-UMQYOCJBSA-N	199.297	4.127	30	50	AIEA	
C/C=C(\C#N)c1ccc([C@@H](C)CC)cc1	ZINC000041209986	PNKTVWBHQHNPTH-FIJZOYEMSA-N	199.297	4.127	30	50	AIEA	
N#C/C1=C\CCCCCCCCCC1	ZINC000045027988	FVADXZSWPCBVPT-RAXLEYEMSA-N	191.318	4.351	30	50	AIEA	
Cc1ccc2c(c1)[C@H](Cl)CCCC2	ZINC000049634907	KZPDYEVNZNDEJE-GFCCVEGCSA-N	194.705	4.001	30	50	AIEA	
Cc1ccc2c(c1)[C@@H](Cl)CCCC2	ZINC000049634908	KZPDYEVNZNDEJE-LBPRGKRZSA-N	194.705	4.001	30	50	AIEA	
CC1(C)CC[C@H](Cl)c2ccccc21	ZINC000049634936	QNTZIHVZGZEHCX-NSHDSACASA-N	194.705	4.038	30	50	AIEA	
CC1(C)CC[C@@H](Cl)c2ccccc21	ZINC000049634938	QNTZIHVZGZEHCX-LLVKDONJSA-N	194.705	4.038	30	50	AIEA	
CC(C)c1ccc2c(c1)[C@H](Cl)CC2	ZINC000049634970	CURMBZDWKUNUJJ-GFCCVEGCSA-N	194.705	4.036	30	50	AIEA	
CC(C)c1ccc2c(c1)[C@@H](Cl)CC2	ZINC000049634972	CURMBZDWKUNUJJ-LBPRGKRZSA-N	194.705	4.036	30	50	AIEA	
CC(C)c1ccc([C@@H](C)Cl)cc1	ZINC000049701423	NFTKGGIZJUQSOT-SECBINFHSA-N	182.694	4.110	30	50	AIEA	
CC(C)c1ccc([C@H](C)Cl)cc1	ZINC000049701425	NFTKGGIZJUQSOT-VIFPVBQESA-N	182.694	4.110	30	50	AIEA	
CCC[C@H](Cl)c1ccc(C)cc1	ZINC000049701448	OVRCFMLEUWPNTF-NSHDSACASA-N	182.694	4.075	30	50	AIEA	
CCC[C@@H](Cl)c1ccc(C)cc1	ZINC000049701451	OVRCFMLEUWPNTF-LLVKDONJSA-N	182.694	4.075	30	50	AIEA	
CC[C@H](Cl)c1ccc(Cl)cc1	ZINC000049701481	OJQXJBNQOVYSBF-VIFPVBQESA-N	189.085	4.030	30	50	AIEA	
CC[C@@H](Cl)c1ccc(Cl)cc1	ZINC000049701484	OJQXJBNQOVYSBF-SECBINFHSA-N	189.085	4.030	30	50	AIEA	
C[C@H](Cl)c1ccc(C(C)(C)C)cc1	ZINC000049701513	CVOBIOVONMMYGZ-VIFPVBQESA-N	196.721	4.284	30	50	AIEA	
C[C@@H](Cl)c1ccc(C(C)(C)C)cc1	ZINC000049701517	CVOBIOVONMMYGZ-SECBINFHSA-N	196.721	4.284	30	50	AIEA	
CC[C@H](Cl)c1ccc(C(C)C)cc1	ZINC000049701520	PXJIFCZCGFEUJQ-LBPRGKRZSA-N	196.721	4.500	30	50	AIEA	
CC[C@@H](Cl)c1ccc(C(C)C)cc1	ZINC000049701523	PXJIFCZCGFEUJQ-GFCCVEGCSA-N	196.721	4.500	30	50	AIEA	
CCc1ccc([C@H](Cl)C(C)C)cc1	ZINC000049701526	AEDVYOHHEUIBLL-GFCCVEGCSA-N	196.721	4.185	30	50	AIEA	
CCc1ccc([C@@H](Cl)C(C)C)cc1	ZINC000049701529	AEDVYOHHEUIBLL-LBPRGKRZSA-N	196.721	4.185	30	50	AIEA	
Cc1ccc([C@H](Cl)C(C)C)cc1C	ZINC000049701530	LISJVTPQGSOFHK-GFCCVEGCSA-N	196.721	4.239	30	50	AIEA	
Cc1ccc([C@@H](Cl)C(C)C)cc1C	ZINC000049701533	LISJVTPQGSOFHK-LBPRGKRZSA-N	196.721	4.239	30	50	AIEA	
Cc1ccc(C)c([C@H](Cl)C(C)C)c1	ZINC000049701536	TZNSSPQYFHOFBC-GFCCVEGCSA-N	196.721	4.239	30	50	AIEA	
Cc1ccc(C)c([C@@H](Cl)C(C)C)c1	ZINC000049701538	TZNSSPQYFHOFBC-LBPRGKRZSA-N	196.721	4.239	30	50	AIEA	
CCC[C@H](Cl)c1ccc(CC)cc1	ZINC000049701540	HBUWTSMVBFYQAI-LBPRGKRZSA-N	196.721	4.329	30	50	AIEA	
CCC[C@@H](Cl)c1ccc(CC)cc1	ZINC000049701543	HBUWTSMVBFYQAI-GFCCVEGCSA-N	196.721	4.329	30	50	AIEA	
CCC[C@H](Cl)c1ccc(C)c(C)c1	ZINC000049701546	QAURSHMLHSGQNF-LBPRGKRZSA-N	196.721	4.383	30	50	AIEA	
CCC[C@@H](Cl)c1ccc(C)c(C)c1	ZINC000049701548	QAURSHMLHSGQNF-GFCCVEGCSA-N	196.721	4.383	30	50	AIEA	
CCC[C@H](Cl)c1cc(C)ccc1C	ZINC000049701551	ZWZGATUEKAUEQL-LBPRGKRZSA-N	196.721	4.383	30	50	AIEA	
CCC[C@@H](Cl)c1cc(C)ccc1C	ZINC000049701554	ZWZGATUEKAUEQL-GFCCVEGCSA-N	196.721	4.383	30	50	AIEA	
C/C(=C\CCCl)c1ccc(C)cc1	ZINC000049779834	PRSPZMCGRMNHGL-NYYWCZLTSA-N	194.705	4.027	30	50	AIEA	
C/C(=C\CCCl)c1ccccc1C	ZINC000049779841	LLKLCHDMTQRWID-YRNVUSSQSA-N	194.705	4.027	30	50	AIEA	
C/C(=C\CCCl)c1cccc(C)c1	ZINC000049779842	SKXIXHQXEWZLFQ-IZZDOVSWSA-N	194.705	4.027	30	50	AIEA	
CC(C)C[C@@H](CCl)c1ccccc1	ZINC000049779854	SPWYQJZIONPDIQ-LBPRGKRZSA-N	196.721	4.055	30	50	AIEA	
CC(C)C[C@H](CCl)c1ccccc1	ZINC000049779855	SPWYQJZIONPDIQ-GFCCVEGCSA-N	196.721	4.055	30	50	AIEA	
CC(C)[C@@H](CCCl)c1ccccc1	ZINC000049779856	DZMSDPOQOLCGRM-GFCCVEGCSA-N	196.721	4.055	30	50	AIEA	
CC(C)[C@H](CCCl)c1ccccc1	ZINC000049779857	DZMSDPOQOLCGRM-LBPRGKRZSA-N	196.721	4.055	30	50	AIEA	
CCC[C@@H](CCl)c1ccc(C)cc1	ZINC000049779858	DEHBNDFMRMSVTR-LBPRGKRZSA-N	196.721	4.118	30	50	AIEA	
CCC[C@H](CCl)c1ccc(C)cc1	ZINC000049779859	DEHBNDFMRMSVTR-GFCCVEGCSA-N	196.721	4.118	30	50	AIEA	
CC(C)c1ccc([C@@H](C)CCl)cc1	ZINC000049779864	QMZBWMBLKPSUIC-JTQLQIEISA-N	196.721	4.152	30	50	AIEA	
CC(C)c1ccc([C@H](C)CCl)cc1	ZINC000049779865	QMZBWMBLKPSUIC-SNVBAGLBSA-N	196.721	4.152	30	50	AIEA	
CC[C@@H](CCl)c1ccc(C)c(C)c1	ZINC000049779866	UJNCLISIFLTNRI-NSHDSACASA-N	196.721	4.036	30	50	AIEA	
CC[C@H](CCl)c1ccc(C)c(C)c1	ZINC000049779867	UJNCLISIFLTNRI-LLVKDONJSA-N	196.721	4.036	30	50	AIEA	
Cc1ccc([C@@H](C)CCCl)cc1C	ZINC000049779868	SVBWSWIKVMXBJW-JTQLQIEISA-N	196.721	4.036	30	50	AIEA	
Cc1ccc([C@H](C)CCCl)cc1C	ZINC000049779869	SVBWSWIKVMXBJW-SNVBAGLBSA-N	196.721	4.036	30	50	AIEA	
CC[C@@H](CCl)c1cc(C)ccc1C	ZINC000049779870	USUHEZQIRZFSRO-NSHDSACASA-N	196.721	4.036	30	50	AIEA	
CC[C@H](CCl)c1cc(C)ccc1C	ZINC000049779871	USUHEZQIRZFSRO-LLVKDONJSA-N	196.721	4.036	30	50	AIEA	
Cc1ccc(C)c([C@@H](C)CCCl)c1	ZINC000049779872	FCXZFXKVRPKRDI-NSHDSACASA-N	196.721	4.036	30	50	AIEA	
Cc1ccc(C)c([C@H](C)CCCl)c1	ZINC000049779873	FCXZFXKVRPKRDI-LLVKDONJSA-N	196.721	4.036	30	50	AIEA	
CC[C@@H](CCl)c1ccc(C)cc1C	ZINC000049779874	PLVXMJVLTLOGIA-NSHDSACASA-N	196.721	4.036	30	50	AIEA	
CC[C@H](CCl)c1ccc(C)cc1C	ZINC000049779875	PLVXMJVLTLOGIA-LLVKDONJSA-N	196.721	4.036	30	50	AIEA	
Cc1ccc([C@@H](C)CCCl)c(C)c1	ZINC000049779876	YSZKXAQKSJTITN-JTQLQIEISA-N	196.721	4.036	30	50	AIEA	
Cc1ccc([C@H](C)CCCl)c(C)c1	ZINC000049779877	YSZKXAQKSJTITN-SNVBAGLBSA-N	196.721	4.036	30	50	AIEA	
Cc1ccc(C(C)(C)C)cc1CCl	ZINC000049779880	HALFEDSYDFTNIW-UHFFFAOYSA-N	196.721	4.031	30	50	AIEA	
CC(C)Cc1ccc([C@@H](C)Cl)cc1	ZINC000057332736	SPBVCQUMYJRBMD-SNVBAGLBSA-N	196.721	4.185	30	50	AIEA	
CC(C)Cc1ccc([C@H](C)Cl)cc1	ZINC000057332737	SPBVCQUMYJRBMD-JTQLQIEISA-N	196.721	4.185	30	50	AIEA	
CC[C@H](Cl)c1cccc(Cl)c1	ZINC000057332755	KPBFMCRHWUEOPC-VIFPVBQESA-N	189.085	4.030	30	50	AIEA	
CC[C@@H](Cl)c1cccc(Cl)c1	ZINC000057332757	KPBFMCRHWUEOPC-SECBINFHSA-N	189.085	4.030	30	50	AIEA	
CC[C@H](Cl)CCCc1ccccc1	ZINC000058002683	AVKNYNZAVJWLQV-LBPRGKRZSA-N	196.721	4.027	30	50	AIEA	
CC[C@@H](Cl)CCCc1ccccc1	ZINC000058002684	AVKNYNZAVJWLQV-GFCCVEGCSA-N	196.721	4.027	30	50	AIEA	
CCC[C@@H](C)C[C@@H](CC)[C@@H](C)Cl	ZINC000071111062	ORTQLBJGBWWBLE-GMTAPVOTSA-N	190.758	4.466	30	50	AIEA	
CCC[C@H](C)C[C@@H](CC)[C@@H](C)Cl	ZINC000071111066	ORTQLBJGBWWBLE-HBNTYKKESA-N	190.758	4.466	30	50	AIEA	
CCC[C@@H](C)C[C@H](CC)[C@@H](C)Cl	ZINC000071111069	ORTQLBJGBWWBLE-MXWKQRLJSA-N	190.758	4.466	30	50	AIEA	
CCC[C@H](C)C[C@H](CC)[C@@H](C)Cl	ZINC000071111073	ORTQLBJGBWWBLE-AXFHLTTASA-N	190.758	4.466	30	50	AIEA	
CCCCCCCC1=CCCCC1=O	ZINC000072986321	HBAHZZVIEFRTEY-UHFFFAOYSA-N	194.318	4.026	30	50	AIEA	
CC(C)c1cc(CCl)c(C2CC2)o1	ZINC000077082543	GAGFGNGVVMFNMV-UHFFFAOYSA-N	198.693	4.019	30	50	AIEA	
CC[C@H](Cl)c1c(C)cc(C)cc1C	ZINC000082437419	DBNMIQOCLPLQON-NSHDSACASA-N	196.721	4.302	30	50	AIEA	
CC[C@@H](Cl)c1c(C)cc(C)cc1C	ZINC000082437420	DBNMIQOCLPLQON-LLVKDONJSA-N	196.721	4.302	30	50	AIEA	
CC(C)(C)CC[C@@H]1CCC[C@@H]1Cl	ZINC000082438524	WNEHNUHWCQTPKC-UWVGGRQHSA-N	188.742	4.220	30	50	AIEA	
CC(C)(C)CC[C@H]1CCC[C@@H]1Cl	ZINC000082438526	WNEHNUHWCQTPKC-ZJUUUORDSA-N	188.742	4.220	30	50	AIEA	
CC(C)(C)CC[C@@H]1CCC[C@H]1Cl	ZINC000082438527	WNEHNUHWCQTPKC-VHSXEESVSA-N	188.742	4.220	30	50	AIEA	
CC(C)(C)CC[C@H]1CCC[C@H]1Cl	ZINC000082438529	WNEHNUHWCQTPKC-NXEZZACHSA-N	188.742	4.220	30	50	AIEA	
CCC[C@H](Cl)CCC1CCCC1	ZINC000082438806	UXZICBNLUSNVLK-NSHDSACASA-N	188.742	4.364	30	50	AIEA	
CCC[C@@H](Cl)CCC1CCCC1	ZINC000082438809	UXZICBNLUSNVLK-LLVKDONJSA-N	188.742	4.364	30	50	AIEA	
CC(C)CC[C@@H]1CCCC[C@@H]1Cl	ZINC000082438968	MZEKGUXZWQIWRY-QWRGUYRKSA-N	188.742	4.220	30	50	AIEA	
CC(C)CC[C@H]1CCCC[C@@H]1Cl	ZINC000082438970	MZEKGUXZWQIWRY-MNOVXSKESA-N	188.742	4.220	30	50	AIEA	
CC(C)CC[C@@H]1CCCC[C@H]1Cl	ZINC000082438972	MZEKGUXZWQIWRY-WDEREUQCSA-N	188.742	4.220	30	50	AIEA	
CC(C)CC[C@H]1CCCC[C@H]1Cl	ZINC000082438974	MZEKGUXZWQIWRY-GHMZBOCLSA-N	188.742	4.220	30	50	AIEA	
Cc1cc(C(C)(C)C)ccc1CCl	ZINC000082531073	DDMGSGAAOLZOBB-UHFFFAOYSA-N	196.721	4.031	30	50	AIEA	
Cc1ccc(CCl)cc1C(C)(C)C	ZINC000083224744	BKDYHZOWUSXXRZ-UHFFFAOYSA-N	196.721	4.031	30	50	AIEA	
