smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC(C)CCC[C@H](C)CCCl	ZINC000001561959	IFTYHSVPPGZJQG-JTQLQIEISA-N	176.731	4.078	30	40	AIEB	
CC(C)CCC[C@@H](C)CCCl	ZINC000002046509	IFTYHSVPPGZJQG-SNVBAGLBSA-N	176.731	4.078	30	40	AIEB	
CCCCCCC[C@@H](Cl)CCl	ZINC000002539156	SAWALGNBNOPQEB-SECBINFHSA-N	197.149	4.193	30	40	AIEB	
c1ccc(N=C2CCCCCC2)cc1	ZINC000005048614	WGYLIQDLSUMIDK-UHFFFAOYSA-N	187.286	4.113	30	40	AIEB	
CC(C)C(=NC1CCCCC1)C(C)C	ZINC000032296917	GCFJTMYRQGWANW-UHFFFAOYSA-N	195.350	4.072	30	40	AIEB	
C[C@H](Cl)c1cccc2sccc21	ZINC000089195318	JHFCTJPJXDHAGE-ZETCQYMHSA-N	196.702	4.201	30	40	AIEB	
C[C@@H](Cl)c1cccc2sccc21	ZINC000089195319	JHFCTJPJXDHAGE-SSDOTTSWSA-N	196.702	4.201	30	40	AIEB	
C[C@H](Cl)c1ccc2ccsc2c1	ZINC000089195376	PVZBQSCLOWXARJ-ZETCQYMHSA-N	196.702	4.201	30	40	AIEB	
C[C@@H](Cl)c1ccc2ccsc2c1	ZINC000089195377	PVZBQSCLOWXARJ-SSDOTTSWSA-N	196.702	4.201	30	40	AIEB	
C/C=C/C(=O)CCCCCCCCC	ZINC000100102938	JUQCMHBQRHFGNC-NYYWCZLTSA-N	196.334	4.272	30	40	AIEB	
CCCCCCCC(Cl)Cl	ZINC000100107818	OQYNFBPKTVQOKO-UHFFFAOYSA-N	183.122	4.151	30	40	AIEB	
CCCCCCC[C@H](Cl)CCl	ZINC000100201687	SAWALGNBNOPQEB-VIFPVBQESA-N	197.149	4.193	30	40	AIEB	
ClC1CCCCCCCCC1	ZINC000104080843	BQFFCBZWAKSYCO-UHFFFAOYSA-N	174.715	4.118	30	40	AIEB	
C=CCCCCCCCCCl	ZINC000137327687	QOCVTOZYTRKRHI-UHFFFAOYSA-N	174.715	4.142	30	40	AIEB	
