smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCCCCCC[C@@H](C)Cl	ZINC000002011981	OOZCPPCMBPSCDZ-SNVBAGLBSA-N	176.731	4.364	30	20	AIED	
CCCCCCCC[C@H](C)Cl	ZINC000002011982	OOZCPPCMBPSCDZ-JTQLQIEISA-N	176.731	4.364	30	20	AIED	
CCCCCCC[C@H](Cl)CC	ZINC000002011983	SMVZPOXWOUHGQI-SNVBAGLBSA-N	176.731	4.364	30	20	AIED	
CCCCCCC[C@@H](Cl)CC	ZINC000002011984	SMVZPOXWOUHGQI-JTQLQIEISA-N	176.731	4.364	30	20	AIED	
[N-]=[N+]=Nc1ccc(-c2ccccc2)cc1	ZINC000031333531	FPXOTFVRBPJFQA-UHFFFAOYSA-N	195.225	4.295	30	20	AIED	
CCCCCCC(=O)C1=CCCCC1	ZINC000039238444	ZSICEMWFQGCJCY-UHFFFAOYSA-N	194.318	4.026	30	20	AIED	
CC(C)C[C@H](Cl)c1cccs1	ZINC000040270009	MXEJXVCJIJATBJ-QMMMGPOBSA-N	188.723	4.074	30	20	AIED	
CC(C)C[C@@H](Cl)c1cccs1	ZINC000040270010	MXEJXVCJIJATBJ-MRVPVSSYSA-N	188.723	4.074	30	20	AIED	
CC[C@@H](C)[C@H](Cl)c1cccs1	ZINC000040270029	ANBJCXIAXQKNRZ-APPZFPTMSA-N	188.723	4.074	30	20	AIED	
CC[C@H](C)[C@H](Cl)c1cccs1	ZINC000040270030	ANBJCXIAXQKNRZ-CBAPKCEASA-N	188.723	4.074	30	20	AIED	
CC[C@@H](C)[C@@H](Cl)c1cccs1	ZINC000040270031	ANBJCXIAXQKNRZ-VXNVDRBHSA-N	188.723	4.074	30	20	AIED	
CC[C@H](C)[C@@H](Cl)c1cccs1	ZINC000040270032	ANBJCXIAXQKNRZ-IONNQARKSA-N	188.723	4.074	30	20	AIED	
CCCC[C@H](Cl)c1cccs1	ZINC000040270071	WRNHEUXENGCDIQ-QMMMGPOBSA-N	188.723	4.218	30	20	AIED	
CCCC[C@@H](Cl)c1cccs1	ZINC000040270072	WRNHEUXENGCDIQ-MRVPVSSYSA-N	188.723	4.218	30	20	AIED	
CC(C)(C)[C@H](Cl)c1cccs1	ZINC000040270107	VMJVPMVLRLPHGR-MRVPVSSYSA-N	188.723	4.074	30	20	AIED	
CC(C)(C)[C@@H](Cl)c1cccs1	ZINC000040270108	VMJVPMVLRLPHGR-QMMMGPOBSA-N	188.723	4.074	30	20	AIED	
CC[C@H](Cl)c1cc(C)sc1C	ZINC000040272345	DVUWFTSBKUKXCW-VIFPVBQESA-N	188.723	4.055	30	20	AIED	
CC[C@@H](Cl)c1cc(C)sc1C	ZINC000040272347	DVUWFTSBKUKXCW-SECBINFHSA-N	188.723	4.055	30	20	AIED	
CC[C@H](Cl)c1ccc(Cl)s1	ZINC000040272494	BRJRZDJDMMSECT-YFKPBYRVSA-N	195.114	4.091	30	20	AIED	
CC[C@@H](Cl)c1ccc(Cl)s1	ZINC000040272496	BRJRZDJDMMSECT-RXMQYKEDSA-N	195.114	4.091	30	20	AIED	
C[C@H](Cl)c1csc2ccccc21	ZINC000040273058	XSVBZIXLEBLFCN-ZETCQYMHSA-N	196.702	4.201	30	20	AIED	
C[C@@H](Cl)c1csc2ccccc21	ZINC000040273059	XSVBZIXLEBLFCN-SSDOTTSWSA-N	196.702	4.201	30	20	AIED	
CCC[C@H](Cl)c1ccc(C)s1	ZINC000042352433	PRHNCDGHGQDYCB-QMMMGPOBSA-N	188.723	4.137	30	20	AIED	
CCC[C@@H](Cl)c1ccc(C)s1	ZINC000042352435	PRHNCDGHGQDYCB-MRVPVSSYSA-N	188.723	4.137	30	20	AIED	
CCC(C)(C)C1CCC(=CC#N)CC1	ZINC000043559088	WGNXEYOYRCEMDA-UHFFFAOYSA-N	191.318	4.063	30	20	AIED	
C=CCCCCCCCCCS	ZINC000044185583	SCHSUGYJBLKWQZ-UHFFFAOYSA-N	186.364	4.223	30	20	AIED	
Cc1ccc([C@H](Cl)CC2CC2)cc1	ZINC000049732015	SOSKIFKCSDNORZ-GFCCVEGCSA-N	194.705	4.075	30	20	AIED	
