smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
FCCCCCCCCCCCl	ZINC000002040787	JKRRVZFDRHWMMB-UHFFFAOYSA-N	194.721	4.316	30	10	AIEE	
C=CC(=O)CCCCCCCCCC	ZINC000002579456	CNJBRDUPIHYDFA-UHFFFAOYSA-N	196.334	4.272	30	10	AIEE	
C/C=N/C(CCC)(CCC)CCC	ZINC000032130509	AOSWAYINXPKDRV-MDWZMJQESA-N	183.339	4.216	30	10	AIEE	
[N-]=[N+]=Nc1cccc(-c2ccccc2)c1	ZINC000032207091	RFTRNOXIKPDOOK-UHFFFAOYSA-N	195.225	4.295	30	10	AIEE	
CCCCCC[C@H](C=O)CCCCC	ZINC000034534784	FYDUJOZFUFRISC-CYBMUJFWSA-N	198.350	4.352	30	10	AIEE	
CCCCCC[C@@H](C=O)CCCCC	ZINC000034534785	FYDUJOZFUFRISC-ZDUSSCGKSA-N	198.350	4.352	30	10	AIEE	
CC[C@H](C)CCCCCCCCC=O	ZINC000035940145	LBPCQRKBYWKMBM-ZDUSSCGKSA-N	198.350	4.352	30	10	AIEE	
C=CCCCCCCC[C@H](C)CC=O	ZINC000039018261	NLCPPYURUHPWBE-ZDUSSCGKSA-N	196.334	4.128	30	10	AIEE	
C=CCCCCCCC[C@@H](C)CC=O	ZINC000039018262	NLCPPYURUHPWBE-CYBMUJFWSA-N	196.334	4.128	30	10	AIEE	
CCCCC#Cc1ccccc1N=[N+]=[N-]	ZINC000039149110	QCGQMWAONVCJCF-UHFFFAOYSA-N	199.257	4.170	30	10	AIEE	
C[C@@H]1C[C@H](C(C)(C)C)CC[C@H]1Cl	ZINC000059061438	OHHKKEAZCFNOCF-OPRDCNLKSA-N	188.742	4.076	30	10	AIEE	
C[C@H]1C[C@H](C(C)(C)C)CC[C@H]1Cl	ZINC000059061440	OHHKKEAZCFNOCF-IVZWLZJFSA-N	188.742	4.076	30	10	AIEE	
