smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC/C=C(CC)/C(CC)=C(/C#N)CC	ZINC000001729047	SJOQZOQMHUWMLF-GNDASISDSA-N	191.318	4.373	30	1	AIEF	
CC/C=C(CC)\C(CC)=C(\C#N)CC	ZINC000005459386	SJOQZOQMHUWMLF-IGHSGFNJSA-N	191.318	4.373	30	1	AIEF	
CCCCC/C=C/CCCCCC=O	ZINC000014772010	XPSSLGKTYQHEKK-VOTSOKGWSA-N	196.334	4.272	30	1	AIEF	biogenic,in-vitro
C/C=C/C(=O)[C@H](CC)CCCCCC	ZINC000015204824	OGFAPWMNVLDLSD-SBKJXLNCSA-N	196.334	4.128	30	1	AIEF	biogenic,in-vitro
C/C=C/C(=O)[C@@H](CC)CCCCCC	ZINC000015204825	OGFAPWMNVLDLSD-DJTWPOEFSA-N	196.334	4.128	30	1	AIEF	biogenic,in-vitro
CCC/C=C/C(=O)[C@H](CC)CCCC	ZINC000015204829	FQIJOHISHWNRRA-LMMOQWNQSA-N	196.334	4.128	30	1	AIEF	biogenic,in-vitro
CCC/C=C/C(=O)[C@@H](CC)CCCC	ZINC000015204830	FQIJOHISHWNRRA-ZKQHCESOSA-N	196.334	4.128	30	1	AIEF	biogenic,in-vitro
CC/C=C(CC)/C(CC)=C(\C#N)CC	ZINC000016956303	SJOQZOQMHUWMLF-ZFDSPDROSA-N	191.318	4.373	30	1	AIEF	
CC/C=C(CC)\C(CC)=C(/C#N)CC	ZINC000016956305	SJOQZOQMHUWMLF-KBMMCUQCSA-N	191.318	4.373	30	1	AIEF	
CCCCCCCCC/C=C/C(C)=O	ZINC000049781089	HVDXPWBGDAVMSY-VAWYXSNFSA-N	196.334	4.272	30	1	AIEF	biogenic,in-vitro
CCCCCCCC/C=C\CCC=O	ZINC000059725498	SMJHEMUFVYWLOU-KTKRTIGZSA-N	196.334	4.272	30	1	AIEF	
CCCCCCCC/C=C/CCC=O	ZINC000086002189	SMJHEMUFVYWLOU-MDZDMXLPSA-N	196.334	4.272	30	1	AIEF	endogenous,in-man
CCCCCCC/C=C/CCCC=O	ZINC000086002192	DBNIGMYKSMMBSB-CMDGGOBGSA-N	196.334	4.272	30	1	AIEF	biogenic,in-vitro
CCCCCC/C=C/CCCCC=O	ZINC000086002196	QTNURDICRCEXFI-BQYQJAHWSA-N	196.334	4.272	30	1	AIEF	biogenic,in-vitro
CCCCCC1CCC(S)CC1	ZINC000090430711	QBWCKLHTSPGPNW-UHFFFAOYSA-N	186.364	4.055	30	1	AIEF	
CC/C=C\CCCCCCCl	ZINC000090500812	IFVUPSKTFKPOQN-ARJAWSKDSA-N	174.715	4.142	30	1	AIEF	
CC/C=C/CCCCCCCl	ZINC000090500813	IFVUPSKTFKPOQN-ONEGZZNKSA-N	174.715	4.142	30	1	AIEF	
CCCCCC/C=C\C(=O)C(C)(C)C	ZINC000100291255	VISOPJSYPCILSN-KHPPLWFESA-N	196.334	4.128	30	1	AIEF	
CCCCCC/C=C/C(=O)C(C)(C)C	ZINC000100291256	VISOPJSYPCILSN-ZHACJKMWSA-N	196.334	4.128	30	1	AIEF	
CCCCCC/C=C(\CCC)C(C)=O	ZINC000100293767	XRQWHFYQZFFAKF-ACCUITESSA-N	196.334	4.272	30	1	AIEF	
CCCCCC/C=C(/CCC)C(C)=O	ZINC000100293769	XRQWHFYQZFFAKF-QBFSEMIESA-N	196.334	4.272	30	1	AIEF	
Cl[C@H]1/C=C\CC/C=C\CC/C=C\C1	ZINC000105455303	BUTJGENJNVTOKZ-KTDIKTQESA-N	196.721	4.227	30	1	AIEF	
Cl[C@H]1/C=C\CC/C=C\CC/C=C/C1	ZINC000105455307	BUTJGENJNVTOKZ-JPUBPDNLSA-N	196.721	4.227	30	1	AIEF	
Cl[C@H]1/C=C\CC/C=C/CC/C=C\C1	ZINC000105455310	BUTJGENJNVTOKZ-ODHZGABKSA-N	196.721	4.227	30	1	AIEF	
Cl[C@H]1/C=C\CC/C=C/CC/C=C/C1	ZINC000105455313	BUTJGENJNVTOKZ-ZGHGHAPVSA-N	196.721	4.227	30	1	AIEF	
Cc1cccc([C@@H](C)CCCl)c1C	ZINC000107480313	NYGDWLMXAAGZBW-JTQLQIEISA-N	196.721	4.036	30	1	AIEF	
Cc1cccc([C@H](C)CCCl)c1C	ZINC000107480315	NYGDWLMXAAGZBW-SNVBAGLBSA-N	196.721	4.036	30	1	AIEF	
Cc1cc(C)cc([C@@H](C)CCCl)c1	ZINC000107482736	DQIUDDOCAPPFFD-NSHDSACASA-N	196.721	4.036	30	1	AIEF	
Cc1cc(C)cc([C@H](C)CCCl)c1	ZINC000107482738	DQIUDDOCAPPFFD-LLVKDONJSA-N	196.721	4.036	30	1	AIEF	
CCCCCCCCCCC/C=N\O	ZINC000111344191	GKHOHOBTPPHISC-SEYXRHQNSA-N	199.338	4.367	30	1	AIEF	biogenic,in-vitro
