smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1ccc2c(C)ccc(C(C)C)cc1-2	ZINC000000968478	FWKQNCXZGNBPFD-UHFFFAOYSA-N	198.309	4.532	0	50	AJAA	endogenous,in-man
CCCCCCCCCCCC	ZINC000001531085	SNRUBQQJIBEYMU-UHFFFAOYSA-N	170.340	4.927	0	50	AJAA	endogenous,in-man
CCCCCCCCc1ccccc1	ZINC000001596324	CDKDZKXSXLNROY-UHFFFAOYSA-N	190.330	4.590	0	50	AJAA	
C=C(C)CCCCCCCCC	ZINC000001609595	SJVKHZYVCVKEGM-UHFFFAOYSA-N	168.324	4.703	0	50	AJAA	
C(CC1CCCCC1)C1CCCCC1	ZINC000001609641	IBLVSWYGUFGDMF-UHFFFAOYSA-N	194.362	4.927	0	50	AJAA	
CCCCCCC1CCCCC1	ZINC000001615765	QHWAQXOSHHKCFK-UHFFFAOYSA-N	168.324	4.537	0	50	AJAA	
CCCCCCCCCCCCC#N	ZINC000001672897	WKJHMKQSIBMURP-UHFFFAOYSA-N	195.350	4.821	0	50	AJAA	biogenic,in-vitro
CCCCCCCC1CCCCC1	ZINC000001680056	MSTLSCNJAHAQNU-UHFFFAOYSA-N	182.351	4.927	0	50	AJAA	
CCCCCCCCCCC	ZINC000001693211	RSJKGSCJYJTIGS-UHFFFAOYSA-N	156.313	4.537	0	50	AJAA	endogenous,in-man
CCCCCC[C@@H](C)c1ccccc1	ZINC000001713123	GTYIGAUPHJCMLF-CYBMUJFWSA-N	190.330	4.761	0	50	AJAA	
C=CCCCCCCCCCC	ZINC000001718715	CRSBERNSMYQZNG-UHFFFAOYSA-N	168.324	4.703	0	50	AJAA	biogenic,in-man
Cc1cc(C)c(C(C)C)cc1C(C)C	ZINC000001725969	PUPZFBLFGPJICA-UHFFFAOYSA-N	190.330	4.550	0	50	AJAA	
Cc1cc(C(C)C)c(C)cc1C(C)C	ZINC000001736680	MBEBPYJMHLBHDJ-UHFFFAOYSA-N	190.330	4.550	0	50	AJAA	
CCCCCCCCc1cccs1	ZINC000001845594	GIFWAJGKWIDXMY-UHFFFAOYSA-N	196.359	4.651	0	50	AJAA	
CCCCCCCCCCCCF	ZINC000002040783	YHYBNVZCQIDLSQ-UHFFFAOYSA-N	188.330	4.877	0	50	AJAA	
C=C1CCCCCCCCCCC1	ZINC000002145730	FCUMNEBCUZTVQN-UHFFFAOYSA-N	180.335	4.847	0	50	AJAA	
CCCCCCCCc1ccsc1	ZINC000002159763	WQYWXQCOYRZFAV-UHFFFAOYSA-N	196.359	4.651	0	50	AJAA	
C(=C/C1CCCCC1)\C1CCCCC1	ZINC000002173027	IWUAWQPCHKUUCI-VAWYXSNFSA-N	192.346	4.703	0	50	AJAA	
CCCC[C@@H](CC)Cc1ccsc1	ZINC000002392494	HWMQCIZYXLAJKM-LLVKDONJSA-N	196.359	4.507	0	50	AJAA	
CCCCCCC[C@H](C)C(C)C	ZINC000002528267	ZCTGYLNFWOQVHV-LBPRGKRZSA-N	170.340	4.639	0	50	AJAA	
CCCC[C@@H](C)CCCC(C)C	ZINC000002528336	DHJGXZWEQBKLNV-GFCCVEGCSA-N	170.340	4.639	0	50	AJAA	
CCCCCCCCC(F)=C(F)F	ZINC000002530943	VAKNUCCHIZRRRF-UHFFFAOYSA-N	194.240	4.815	0	50	AJAA	
CCCCCCCCC[C@H](C)CC#N	ZINC000002534700	ZKCZXPOYIUVRIV-ZDUSSCGKSA-N	195.350	4.677	0	50	AJAA	
CC/C=C/CCCCCCCC	ZINC000002539709	WLTSXAIICPDFKI-FNORWQNLSA-N	168.324	4.703	0	50	AJAA	
