smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC(C)c1ccc(C(C)C)c(Cl)c1	ZINC000001596145	DAQRAOORRPJOKE-UHFFFAOYSA-N	196.721	4.587	0	40	AJAB	
C(CC1CCCC1)CC1CCCCC1	ZINC000001670988	CPBZARXQRZTYGI-UHFFFAOYSA-N	194.362	4.927	0	40	AJAB	
CCC(CC)c1ccc2ccccc2c1	ZINC000001704558	WXKMPZORXBGZGK-UHFFFAOYSA-N	198.309	4.743	0	40	AJAB	
CC(=C\C(C)(C)C)/C(C)=C\C(C)(C)C	ZINC000001729057	RONBSGMFOSUTLQ-DSOJMZEYSA-N	194.362	4.971	0	40	AJAB	
CCCCC(CC#N)(CCC)CCC	ZINC000001730862	WKYGOEZDIDTHEE-UHFFFAOYSA-N	195.350	4.677	0	40	AJAB	
Cc1ccc2c(C)ccc(C(C)C)c2c1	ZINC000002040470	VMOJIHDTVZTGDO-UHFFFAOYSA-N	198.309	4.580	0	40	AJAB	in-man,metabolite
CCCCC(C)(C)CC(C)(C)C	ZINC000002528284	TYUFTNSABIBNRY-UHFFFAOYSA-N	170.340	4.639	0	40	AJAB	
CCCCC/C=C/CCCCC	ZINC000002539605	DZGHBGLILAEHOR-VAWYXSNFSA-N	168.324	4.703	0	40	AJAB	
CCCCCC[C@H]1CCC[C@H](C)C1	ZINC000002558866	JDRSBYDVSKONQG-STQMWFEESA-N	182.351	4.783	0	40	AJAB	
CCCCCCC1CCC(C)CC1	ZINC000002558867	KYDSKISTEAEQHZ-UHFFFAOYSA-N	182.351	4.783	0	40	AJAB	
CCCCCCCC[C@H](C)CC	ZINC000002564124	HTZWVZNRDDOFEI-GFCCVEGCSA-N	170.340	4.783	0	40	AJAB	
CCCC/C=C/CCCCCC	ZINC000002576966	ZOKYTRIEIDWYSG-PKNBQFBNSA-N	168.324	4.703	0	40	AJAB	
CCCCCCC#CCCCCCC	ZINC000002579233	AFNWSIIBAYUTTL-UHFFFAOYSA-N	194.362	4.931	0	40	AJAB	
CC(C)(C)CCCCC(C)(C)C	ZINC000002600001	QZUFNKONEPLWBC-UHFFFAOYSA-N	170.340	4.639	0	40	AJAB	
C=C1C/C=C/C(C)(C)C/C=C(\C)CC1	ZINC000057988988	NFHLNYDFUOUFPZ-UIJSIPAGSA-N	190.330	4.645	0	40	AJAB	
CCCCC[C@@H](CC)c1ccccc1	ZINC000060004005	XEYWPMIXBVMRLE-CYBMUJFWSA-N	190.330	4.761	0	40	AJAB	
CCCCC[C@H](CC)c1ccccc1	ZINC000060004008	XEYWPMIXBVMRLE-ZDUSSCGKSA-N	190.330	4.761	0	40	AJAB	
C1=CCCCCCCCCCCC=1	ZINC000066377889	GXKXSGKUODLRSQ-UHFFFAOYSA-N	178.319	4.612	0	40	AJAB	
C=C(C)[C@H]1C(C)(C)C=C(C)CC1(C)C	ZINC000071789328	GXATYSZBKVMODG-LBPRGKRZSA-N	192.346	4.581	0	40	AJAB	
C=C(C)[C@@H]1C(C)(C)C=C(C)CC1(C)C	ZINC000071789329	GXATYSZBKVMODG-GFCCVEGCSA-N	192.346	4.581	0	40	AJAB	
CCC[C@@H](C)CCC[C@@H](C)CC	ZINC000078206078	VDAVEASVPZDNQB-NWDGAFQWSA-N	170.340	4.639	0	40	AJAB	
