smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCCC=C1C[C@H](C)C[C@H](C)C1	ZINC000001765386	AKODMFVIZZJTGK-TXEJJXNPSA-N	180.335	4.559	0	30	AJAC	
CCCCC=C1C[C@@H](C)C[C@H](C)C1	ZINC000001765388	AKODMFVIZZJTGK-RYUDHWBXSA-N	180.335	4.559	0	30	AJAC	
CCCCC=C1C[C@H](C)C[C@@H](C)C1	ZINC000001765389	AKODMFVIZZJTGK-VXGBXAGGSA-N	180.335	4.559	0	30	AJAC	
CCCCCCCCCc1ccco1	ZINC000104832014	BIRIRZLNKYBSCQ-UHFFFAOYSA-N	194.318	4.573	0	30	AJAC	
C=C(C1CCCCC1)C1CCCCC1	ZINC000104839962	OHYWJUVIUOSKLO-UHFFFAOYSA-N	192.346	4.703	0	30	AJAC	
C(C=C1CCCCC1)=C1CCCCC1	ZINC000104841776	ARNVRGJBMXJHBD-UHFFFAOYSA-N	190.330	4.767	0	30	AJAC	
CC1(C)CCCC(C)(C)C1=C=CCl	ZINC000104842247	JTIINOLJZWOZMX-UHFFFAOYSA-N	198.737	4.501	0	30	AJAC	
CCC=C1CCC(C(C)(C)C)CC1	ZINC000104842499	FELKVUBZSBLDIL-UHFFFAOYSA-N	180.335	4.559	0	30	AJAC	
C=CCC(C)(C)CC(=C)CC(C)(C)C	ZINC000104855465	YCUCDWPMVJKQEA-UHFFFAOYSA-N	194.362	4.971	0	30	AJAC	
C(=C\C1CCCCC1)\C1CCCCC1	ZINC000108705444	IWUAWQPCHKUUCI-QXMHVHEDSA-N	192.346	4.703	0	30	AJAC	
CCCC[Si](CCCC)CCCC	ZINC000195815013	ISEIIPDWJVGTQS-UHFFFAOYSA-N	199.434	4.882	0	30	AJAC	
