smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C(C1CCCCC1)C1CCCCC1	ZINC000001674249	XXKOQQBKBHUATC-UHFFFAOYSA-N	180.335	4.537	0	20	AJAD	
CCCC[C@H]1[C@@H](C)CCCC1(C)C	ZINC000002528285	PUUCZCJOATUHNE-RYUDHWBXSA-N	182.351	4.639	0	20	AJAD	
CCCCCC[C@H]1CCCC[C@@H]1C	ZINC000002558865	YBURYLRJEWDREX-STQMWFEESA-N	182.351	4.783	0	20	AJAD	
CC[C@H]1CCC[C@@H]1CCCC(C)C	ZINC000002600032	HOUQCRCJPOAKSY-STQMWFEESA-N	182.351	4.639	0	20	AJAD	
C1CCCC(C2CCCCCC2)CC1	ZINC000059425933	ARUKYTASOALXFG-UHFFFAOYSA-N	194.362	4.927	0	20	AJAD	
C=C(C)CC[C@H](CC)CCCC	ZINC000060251976	ZKIDCFZEIQWHHT-GFCCVEGCSA-N	168.324	4.559	0	20	AJAD	
C=C(C)CC[C@@H](CC)CCCC	ZINC000060251977	ZKIDCFZEIQWHHT-LBPRGKRZSA-N	168.324	4.559	0	20	AJAD	
CCCC[C@@H]1[C@H](C)CCCC1(C)C	ZINC000079185690	PUUCZCJOATUHNE-VXGBXAGGSA-N	182.351	4.639	0	20	AJAD	
CCCC[C@H]1[C@H](C)CCCC1(C)C	ZINC000079185692	PUUCZCJOATUHNE-NEPJUHHUSA-N	182.351	4.639	0	20	AJAD	
CCCC[C@@H]1[C@@H](C)CCCC1(C)C	ZINC000079185693	PUUCZCJOATUHNE-NWDGAFQWSA-N	182.351	4.639	0	20	AJAD	
CCCCC/C=C\CCCCC	ZINC000080917907	DZGHBGLILAEHOR-QXMHVHEDSA-N	168.324	4.703	0	20	AJAD	
C=C(C)C[C@H](C)CCCCCC	ZINC000082088697	DCJZDSLNTFHRSM-GFCCVEGCSA-N	168.324	4.559	0	20	AJAD	
C=C(C)C[C@@H](C)CCCCCC	ZINC000082088698	DCJZDSLNTFHRSM-LBPRGKRZSA-N	168.324	4.559	0	20	AJAD	
