smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCCCC[C@@H](C)CCCC	ZINC000001606150	QULNVKABFWNUCW-LBPRGKRZSA-N	170.340	4.783	0	10	AJAE	
CCCCCC[C@H](C)CCCC	ZINC000002521589	QULNVKABFWNUCW-GFCCVEGCSA-N	170.340	4.783	0	10	AJAE	
C=CC1CCC(CCCCC)CC1	ZINC000059796869	AUIXUHDXXCTBLJ-UHFFFAOYSA-N	180.335	4.559	0	10	AJAE	
CC(C)c1cccc(C(C)C)c1Cl	ZINC000078811274	JQFVRQDQQXRLBG-UHFFFAOYSA-N	196.721	4.587	0	10	AJAE	
CC(C)CCCCCCC(C)C	ZINC000079185713	HWISDPDDDUZJAW-UHFFFAOYSA-N	170.340	4.639	0	10	AJAE	
CCC[C@@H](CC)[C@@H](CC)CCC	ZINC000079425363	XRVCHXCONYJHLU-TXEJJXNPSA-N	170.340	4.639	0	10	AJAE	
CCC[C@H](CC)[C@@H](CC)CCC	ZINC000079425364	XRVCHXCONYJHLU-RYUDHWBXSA-N	170.340	4.639	0	10	AJAE	
CCC[C@@H](CC)[C@H](CC)CCC	ZINC000079425367	XRVCHXCONYJHLU-VXGBXAGGSA-N	170.340	4.639	0	10	AJAE	
CC[C@@H](C)C[C@@H](C)CCCC(C)C	ZINC000079566582	SWDJLVOSNCGQGB-OLZOCXBDSA-N	184.367	4.885	0	10	AJAE	endogenous,in-man
CC[C@H](C)C[C@@H](C)CCCC(C)C	ZINC000079566585	SWDJLVOSNCGQGB-STQMWFEESA-N	184.367	4.885	0	10	AJAE	endogenous,in-man
CC[C@@H](C)C[C@H](C)CCCC(C)C	ZINC000079566589	SWDJLVOSNCGQGB-CHWSQXEVSA-N	184.367	4.885	0	10	AJAE	endogenous,in-man
CC[C@H](C)C[C@H](C)CCCC(C)C	ZINC000079566593	SWDJLVOSNCGQGB-QWHCGFSZSA-N	184.367	4.885	0	10	AJAE	endogenous,in-man
CCCC[C@@H](C)[C@@H](CC)CCC	ZINC000080170679	HKUUNAOHRKAJIY-NEPJUHHUSA-N	170.340	4.639	0	10	AJAE	
CCCC[C@H](C)[C@@H](CC)CCC	ZINC000080170680	HKUUNAOHRKAJIY-RYUDHWBXSA-N	170.340	4.639	0	10	AJAE	
CCCC[C@@H](C)[C@H](CC)CCC	ZINC000080170681	HKUUNAOHRKAJIY-VXGBXAGGSA-N	170.340	4.639	0	10	AJAE	
CCCC[C@H](C)[C@H](CC)CCC	ZINC000080170686	HKUUNAOHRKAJIY-NWDGAFQWSA-N	170.340	4.639	0	10	AJAE	
CCCCCC[C@@H](C)[C@@H](C)C(C)C	ZINC000085972331	YFHGNGNLIWGTTR-OLZOCXBDSA-N	184.367	4.885	0	10	AJAE	endogenous,in-man
CCCCCC[C@H](C)[C@@H](C)C(C)C	ZINC000085972335	YFHGNGNLIWGTTR-STQMWFEESA-N	184.367	4.885	0	10	AJAE	endogenous,in-man
CCCCCC[C@@H](C)[C@H](C)C(C)C	ZINC000085972338	YFHGNGNLIWGTTR-CHWSQXEVSA-N	184.367	4.885	0	10	AJAE	endogenous,in-man
CCCCCC[C@H](C)[C@H](C)C(C)C	ZINC000085972342	YFHGNGNLIWGTTR-QWHCGFSZSA-N	184.367	4.885	0	10	AJAE	endogenous,in-man
