smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC1(C2CCCCC2)CCCCC1	ZINC000001685180	JDPKPKXGTRIIHI-UHFFFAOYSA-N	180.335	4.537	0	1	AJAF	
CCC(CC)c1cccc2ccccc21	ZINC000001704562	FAZYYSYNXQVQNY-UHFFFAOYSA-N	198.309	4.743	0	1	AJAF	
CCC(C)(C)c1cccc2ccccc21	ZINC000001711473	QGOXFEKKDFMNLK-UHFFFAOYSA-N	198.309	4.527	0	1	AJAF	
CC(C1CCCCC1)C1CCCCC1	ZINC000001717501	FUZBYNWONHYNOB-UHFFFAOYSA-N	194.362	4.783	0	1	AJAF	
CCCCCC/C=C/C=C/C(C)C	ZINC000001729059	HULVBFBDOCMWOT-HULFFUFUSA-N	180.335	4.725	0	1	AJAF	
CCCCC(CC)(CC#N)CCCC	ZINC000001730863	SPFJNERIOSPUFU-UHFFFAOYSA-N	195.350	4.677	0	1	AJAF	
Cc1ccc2cc(C(C)C)ccc(C)c1-2	ZINC000001755315	GVZPERDKIUXRKG-UHFFFAOYSA-N	198.309	4.532	0	1	AJAF	
CCCCCC(C)(C#N)CCCCC	ZINC000001755581	DBCOJMXZAWQKQU-UHFFFAOYSA-N	195.350	4.677	0	1	AJAF	
CCCCC=C1C[C@H](C)CC[C@H](C)C1	ZINC000001765375	IPERVESMDAIUFA-BETUJISGSA-N	194.362	4.949	0	1	AJAF	
CCCCC=C1C[C@@H](C)CC[C@H](C)C1	ZINC000001765376	IPERVESMDAIUFA-STQMWFEESA-N	194.362	4.949	0	1	AJAF	
CCCCC=C1C[C@H](C)CC[C@@H](C)C1	ZINC000001765377	IPERVESMDAIUFA-CHWSQXEVSA-N	194.362	4.949	0	1	AJAF	
CCCC/C=C/[C@@H]1CCCC[C@@H]1C	ZINC000001765412	AOTSAWDDMPEWGA-SRUFYXDBSA-N	180.335	4.559	0	1	AJAF	
C/C(=C\C(C)(C)C)[C@@H]1CCCC[C@@H]1C	ZINC000001765414	RXTCEVLYKPZPTA-ZWRVYWDGSA-N	194.362	4.805	0	1	AJAF	
C/C=C/CCCCC[C@H](C)CC	ZINC000059587680	KPHXWWCESYQGHX-FVOPLDGLSA-N	168.324	4.559	0	1	AJAF	biogenic,in-vitro
CC[C@@H]1CC[C@@]2(C)CCC=C(C)[C@@H]2C1	ZINC000059588838	MSJAXTRZQPUSCC-HZSPNIEDSA-N	192.346	4.559	0	1	AJAF	biogenic,in-vitro
CCCCCCCCCC1CC1	ZINC000060025615	DTLFSMAJSOYMCO-UHFFFAOYSA-N	168.324	4.537	0	1	AJAF	biogenic,in-vitro
C=C=C(C(=C=C)C(C)(C)C)C(C)(C)C	ZINC000066377711	SMTTXHSCTMJSQZ-UHFFFAOYSA-N	190.330	4.501	0	1	AJAF	
CC(C)(C)C1=CC[C@H](C(C)(C)C)CC1	ZINC000066377902	SQXVLOWLOJUUGL-LBPRGKRZSA-N	194.362	4.805	0	1	AJAF	
CC(C)(C)C1=CC[C@@H](C(C)(C)C)CC1	ZINC000066377904	SQXVLOWLOJUUGL-GFCCVEGCSA-N	194.362	4.805	0	1	AJAF	
C=C(CC)CCCCCCCC	ZINC000070451096	KOGYHNNTUZDGRV-UHFFFAOYSA-N	168.324	4.703	0	1	AJAF	biogenic,in-vitro
CC(C)=CC/C=C(\C)[C@H]1CC=CCC1	ZINC000070454521	RGYNQGHUYKQXOJ-SSUFTNFISA-N	190.330	4.645	0	1	AJAF	biogenic,in-vitro
CCCCCCCC[C@H]1C=CCC1	ZINC000078239646	SYEHHBWQHNEFBN-ZDUSSCGKSA-N	180.335	4.703	0	1	AJAF	
