smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCC[C@@H](CC)CCCCCl	ZINC000070780808	YHLPQFOAVPPFKY-LLVKDONJSA-N	190.758	4.612	30	20	AJED	
CCCC[C@H](CC)CCCCCl	ZINC000070780815	YHLPQFOAVPPFKY-NSHDSACASA-N	190.758	4.612	30	20	AJED	
CCC[C@H](Cl)CCCCC(C)C	ZINC000070786835	LWNGTQWUIOHPAH-NSHDSACASA-N	190.758	4.610	30	20	AJED	
CCC[C@@H](Cl)CCCCC(C)C	ZINC000070786837	LWNGTQWUIOHPAH-LLVKDONJSA-N	190.758	4.610	30	20	AJED	
CCC[C@H](Cl)CCC[C@@H](C)CC	ZINC000070787111	WXFBRUQWDGRCJO-QWRGUYRKSA-N	190.758	4.610	30	20	AJED	
CCC[C@@H](Cl)CCC[C@@H](C)CC	ZINC000070787114	WXFBRUQWDGRCJO-WDEREUQCSA-N	190.758	4.610	30	20	AJED	
CCC[C@H](Cl)CCC[C@H](C)CC	ZINC000070787119	WXFBRUQWDGRCJO-MNOVXSKESA-N	190.758	4.610	30	20	AJED	
CCC[C@@H](Cl)CCC[C@H](C)CC	ZINC000070787124	WXFBRUQWDGRCJO-GHMZBOCLSA-N	190.758	4.610	30	20	AJED	
C=CCCCCC[C@@H](Cl)CCC	ZINC000070787172	IZVZZCQYPLJONJ-NSHDSACASA-N	188.742	4.530	30	20	AJED	
C=CCCCCC[C@H](Cl)CCC	ZINC000070787176	IZVZZCQYPLJONJ-LLVKDONJSA-N	188.742	4.530	30	20	AJED	
CCC[C@@H](C)CCC[C@H](Cl)CC	ZINC000070789277	QHSAIMXCQNTXRR-GHMZBOCLSA-N	190.758	4.610	30	20	AJED	
CCC[C@H](C)CCC[C@H](Cl)CC	ZINC000070789281	QHSAIMXCQNTXRR-WDEREUQCSA-N	190.758	4.610	30	20	AJED	
CCC[C@@H](C)CCC[C@@H](Cl)CC	ZINC000070789286	QHSAIMXCQNTXRR-MNOVXSKESA-N	190.758	4.610	30	20	AJED	
CCC[C@H](C)CCC[C@@H](Cl)CC	ZINC000070789289	QHSAIMXCQNTXRR-QWRGUYRKSA-N	190.758	4.610	30	20	AJED	
CC[C@H](Cl)CCCCC(C)(C)C	ZINC000070789618	LPTRBUIUDZLHCC-JTQLQIEISA-N	190.758	4.610	30	20	AJED	
CC[C@@H](Cl)CCCCC(C)(C)C	ZINC000070789621	LPTRBUIUDZLHCC-SNVBAGLBSA-N	190.758	4.610	30	20	AJED	
CCCCC[C@H](Cl)c1ccccc1	ZINC000071086538	ZTKUNZYDCMRWGS-LBPRGKRZSA-N	196.721	4.547	30	20	AJED	
CCCCC[C@@H](Cl)c1ccccc1	ZINC000071086539	ZTKUNZYDCMRWGS-GFCCVEGCSA-N	196.721	4.547	30	20	AJED	
