smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCCCC[C@H](Cl)CCCC	ZINC000002009791	YLCGEXHMSVRUFA-LLVKDONJSA-N	190.758	4.754	30	10	AJEE	
CCCCCC[C@@H](Cl)CCCC	ZINC000002009793	YLCGEXHMSVRUFA-NSHDSACASA-N	190.758	4.754	30	10	AJEE	
CCCCCCCCC(Cl)Cl	ZINC000002040681	FBTKIMWGAQACHU-UHFFFAOYSA-N	197.149	4.541	30	10	AJEE	
CCCCC(=CCCl)CCCC	ZINC000082217808	DIQNNEPSPGNXKA-UHFFFAOYSA-N	188.742	4.532	30	10	AJEE	
C=C[C@@H](Cl)CCCCCCCC	ZINC000100057892	PVWZVFSKEIXAML-LLVKDONJSA-N	188.742	4.530	30	10	AJEE	
C=C[C@H](Cl)CCCCCCCC	ZINC000100057894	PVWZVFSKEIXAML-NSHDSACASA-N	188.742	4.530	30	10	AJEE	
CCCCCCC/C(C)=C/CCl	ZINC000138837802	VAJIKHCXLGDAFK-PKNBQFBNSA-N	188.742	4.532	30	10	AJEE	
CCCC(=CCCCCl)CCC	ZINC000218056115	KWJPOPMMBFUEMR-UHFFFAOYSA-N	188.742	4.532	30	10	AJEE	
C=C(CCl)CCCCCCCC	ZINC000219742251	CUEUHFCMVSDPMI-UHFFFAOYSA-N	188.742	4.532	30	10	AJEE	
CCCCC[C@H](Cl)CC(C)(C)C	ZINC000225707115	MKIQPSVPNRKQEE-JTQLQIEISA-N	190.758	4.610	30	10	AJEE	
CCCCC[C@@H](Cl)CC(C)(C)C	ZINC000225707136	MKIQPSVPNRKQEE-SNVBAGLBSA-N	190.758	4.610	30	10	AJEE	
C=CCCCCCCC[C@@H](C)Cl	ZINC000235182586	QIXFQRQXCBXTPA-LLVKDONJSA-N	188.742	4.530	30	10	AJEE	
C=CCCCCCCC[C@H](C)Cl	ZINC000235500112	QIXFQRQXCBXTPA-NSHDSACASA-N	188.742	4.530	30	10	AJEE	
CCCC[C@@H](C)CCCCCCl	ZINC000238252122	ACFXDQZDOFQYHW-LLVKDONJSA-N	190.758	4.612	30	10	AJEE	
ClC1CCCCCCCCCC1	ZINC000238511481	YNLLPDQGKXZWBD-UHFFFAOYSA-N	188.742	4.508	30	10	AJEE	
[N-]=[N+]=Nc1ccccc1C=C1CCCC1	ZINC000238536050	AKNVSEZJULEZAT-UHFFFAOYSA-N	199.257	4.586	30	10	AJEE	
