smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCCCCC(C)CCCCCC	ZINC000001689500	BHDKLTKHPZWYCV-UHFFFAOYSA-N	198.394	5.563	0	50	AKAA	
CCCCCCCCCCCCC	ZINC000001693738	IIYFAKIEWZDVMP-UHFFFAOYSA-N	184.367	5.317	0	50	AKAA	in-man,metabolite
C=CCCCCCCCCCCCC	ZINC000001693893	HFDVRLIODXPAHB-UHFFFAOYSA-N	196.378	5.483	0	50	AKAA	biogenic,in-man
CCCCCCCCCCCCCC	ZINC000001698519	BGHCVCJVXZWKCC-UHFFFAOYSA-N	198.394	5.707	0	50	AKAA	in-man,metabolite
CCCCCCCCC1CCCCC1	ZINC000001716101	FBXWCEKQCVOOLT-UHFFFAOYSA-N	196.378	5.317	0	50	AKAA	
C=CCCCCCCCCCCC	ZINC000001718855	VQOXUMQBYILCKR-UHFFFAOYSA-N	182.351	5.093	0	50	AKAA	endogenous,in-man
C=CCCCC/C=C/CCCCCC	ZINC000002386952	FAQAIHMZMAIJCR-BUHFOSPRSA-N	194.362	5.259	0	50	AKAA	
CCCCCCC[C@H](C)C(C)(C)C	ZINC000002510819	BWEUYKNMLNSHIJ-LBPRGKRZSA-N	184.367	5.029	0	50	AKAA	
C=C(C)CCCCCCCCCC	ZINC000002528313	PWRBDKMPAZFCSV-UHFFFAOYSA-N	182.351	5.093	0	50	AKAA	
CCCCCCCCCCC(C)C	ZINC000002528314	HGEMCUOAMCILCP-UHFFFAOYSA-N	184.367	5.173	0	50	AKAA	endogenous,in-man
CCCCCC/C=C/CCCCCC	ZINC000002539252	UBDIXSAEHLOROW-BUHFOSPRSA-N	196.378	5.483	0	50	AKAA	
C=CCCCCCCCCCCC=C	ZINC000002560550	XMRSTLBCBDIKFI-UHFFFAOYSA-N	194.362	5.259	0	50	AKAA	
C=C(C)CCCCCCCCCCC	ZINC000002560571	VNBHQOHLCULRDN-UHFFFAOYSA-N	196.378	5.483	0	50	AKAA	
CCCCC[C@@H](C)CCCC(C)C	ZINC000002564105	MFUPKUZLTKVMFM-CYBMUJFWSA-N	184.367	5.029	0	50	AKAA	
C1CCCCCCCCCCCCC1	ZINC000059585752	KATXJJSCAPBIOB-UHFFFAOYSA-N	196.378	5.461	0	50	AKAA	biogenic,in-man
C=CCC(CCCCC)CCCCC	ZINC000067732026	WQUMKEFHQBFTGE-UHFFFAOYSA-N	196.378	5.339	0	50	AKAA	
CCCCC[C@H](C)CCCC(C)C	ZINC000071789894	MFUPKUZLTKVMFM-ZDUSSCGKSA-N	184.367	5.029	0	50	AKAA	
CCCCCC/C=C\CCCCCC	ZINC000079831163	UBDIXSAEHLOROW-YPKPFQOOSA-N	196.378	5.483	0	50	AKAA	
C=C/C=C\CCCCCCCCCC	ZINC000080530559	LRIUTQPZISVIHK-ALCCZGGFSA-N	194.362	5.259	0	50	AKAA	
C=C/C=C/CCCCCCCCCC	ZINC000080530567	LRIUTQPZISVIHK-FNORWQNLSA-N	194.362	5.259	0	50	AKAA	
CCCCCCC[C@@H](C)C(C)(C)C	ZINC000100014035	BWEUYKNMLNSHIJ-GFCCVEGCSA-N	184.367	5.029	0	50	AKAA	
CCCCCCC1=CCC(C)=C(C)C1	ZINC000100040395	ZFXGFPHNBNORBV-UHFFFAOYSA-N	192.346	5.013	0	50	AKAA	
