smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCC[C@H]1CCCC[C@@H]1CCCC	ZINC000002507863	ZVJGQCRBIFNMAD-KBPBESRZSA-N	196.378	5.173	0	20	AKAD	
CC(C)CCCC(C)CCCC(C)C	ZINC000002572492	RMDGVETXJWRSGT-UHFFFAOYSA-N	198.394	5.275	0	20	AKAD	
C=C(C)CC/C=C(\C)CCC=C(C)C	ZINC000079469078	MXCNYKNYSNAEPA-GXDHUFHOSA-N	192.346	5.035	0	20	AKAD	
C=C(C)CCC[C@H](C)CCCC(C)C	ZINC000095871127	UGLLTXQVKUBCQI-AWEZNQCLSA-N	196.378	5.195	0	20	AKAD	
C=C(C)CCC[C@@H](C)CCCC(C)C	ZINC000095871128	UGLLTXQVKUBCQI-CQSZACIVSA-N	196.378	5.195	0	20	AKAD	
C=CCCCCCCCCCC(=C)C	ZINC000095902247	LENYRFPPNWTVBM-UHFFFAOYSA-N	194.362	5.259	0	20	AKAD	
C=C(C)C[C@@H](C)CCCCCCCC	ZINC000101105234	QPKWLEKTIKQOLE-AWEZNQCLSA-N	196.378	5.339	0	20	AKAD	
C=C(C)C[C@H](C)CCCCCCCC	ZINC000101105236	QPKWLEKTIKQOLE-CQSZACIVSA-N	196.378	5.339	0	20	AKAD	
C=C(C)CC(C)(C)CCCCCCC	ZINC000101105442	FQDUXMOMCUUKIV-UHFFFAOYSA-N	196.378	5.339	0	20	AKAD	
CCCC[C@@H]1CCCC[C@@H]1CCCC	ZINC000104369712	ZVJGQCRBIFNMAD-OKILXGFUSA-N	196.378	5.173	0	20	AKAD	
CCCC[C@@H]1CCCC[C@H]1CCCC	ZINC000104369717	ZVJGQCRBIFNMAD-ZIAGYGMSSA-N	196.378	5.173	0	20	AKAD	
CCCC/C=C\CC/C=C\CCCC	ZINC000104373069	QPGLLZJMHJDJDQ-HWAYABPNSA-N	194.362	5.259	0	20	AKAD	
CCCCCC(C)(C)CCCC(C)C	ZINC000104531175	OYABKNGMWPWHHW-UHFFFAOYSA-N	198.394	5.419	0	20	AKAD	
