smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCCC(CCCC)CC(C)C	ZINC000059588004	RCOXMOQVMZTXOO-UHFFFAOYSA-N	184.367	5.029	0	10	AKAE	biogenic,in-vitro
CCCCCC[C@@H](C)CC(C)(C)C	ZINC000078275009	ZWJKFSZYIOCMGF-GFCCVEGCSA-N	184.367	5.029	0	10	AKAE	endogenous,in-man
CCCCCC[C@H](C)CC(C)(C)C	ZINC000078275012	ZWJKFSZYIOCMGF-LBPRGKRZSA-N	184.367	5.029	0	10	AKAE	endogenous,in-man
CCCCCCCCCC=C(C)C	ZINC000079781359	NBFZWOUNUXKZOR-UHFFFAOYSA-N	182.351	5.093	0	10	AKAE	
CC[C@@H](C)CCCCCC(C)(C)C	ZINC000085972319	ZXPYELGEJQYCMG-GFCCVEGCSA-N	184.367	5.029	0	10	AKAE	endogenous,in-man
CC[C@H](C)CCCCCC(C)(C)C	ZINC000085972323	ZXPYELGEJQYCMG-LBPRGKRZSA-N	184.367	5.029	0	10	AKAE	endogenous,in-man
CC(C)CCCCCCC(C)(C)C	ZINC000085972327	OFKVGIOPPPBWSB-UHFFFAOYSA-N	184.367	5.029	0	10	AKAE	endogenous,in-man
CCCCC(C)(C)CCCC(C)C	ZINC000101770501	NZNSYLJOHCLJIF-UHFFFAOYSA-N	184.367	5.029	0	10	AKAE	
CCCCCCC(C)(C)CCCC	ZINC000111333708	YQNMYOJSMPRRMP-UHFFFAOYSA-N	184.367	5.173	0	10	AKAE	
CCCC[C@@H](CC)CCCC(C)C	ZINC000111367884	URCFDWVAWCRKTQ-CYBMUJFWSA-N	184.367	5.029	0	10	AKAE	
CCCC[C@H](CC)CCCC(C)C	ZINC000111367886	URCFDWVAWCRKTQ-ZDUSSCGKSA-N	184.367	5.029	0	10	AKAE	
CCC[C@@H](C)CCCCC(C)(C)C	ZINC000111367939	WABCXPNFLLYYCV-GFCCVEGCSA-N	184.367	5.029	0	10	AKAE	
CCC[C@H](C)CCCCC(C)(C)C	ZINC000111367941	WABCXPNFLLYYCV-LBPRGKRZSA-N	184.367	5.029	0	10	AKAE	
CC[C@@H](C)CCCCC(C)(C)CC	ZINC000111367985	IWDBBRKPCLWIKU-GFCCVEGCSA-N	184.367	5.029	0	10	AKAE	
CC[C@H](C)CCCCC(C)(C)CC	ZINC000111367988	IWDBBRKPCLWIKU-LBPRGKRZSA-N	184.367	5.029	0	10	AKAE	
CCCCCCCC[C@@H]1CCC1(C)C	ZINC000135872244	WTXKICAJBOMWNF-CYBMUJFWSA-N	196.378	5.173	0	10	AKAE	
CCCCCCCC[C@H]1CCC1(C)C	ZINC000140113020	WTXKICAJBOMWNF-ZDUSSCGKSA-N	196.378	5.173	0	10	AKAE	
C[C@@H]1CCCCCCCCCC1(C)C	ZINC000140114525	HMFAVPQMBDCNQH-CYBMUJFWSA-N	196.378	5.173	0	10	AKAE	
C[C@H]1CCCCCCCCCC1(C)C	ZINC000140114676	HMFAVPQMBDCNQH-ZDUSSCGKSA-N	196.378	5.173	0	10	AKAE	
CCCC[C@@H](CCC)[C@@H](C)CCC	ZINC000140216734	XSMMHKQHDCOSCO-QWHCGFSZSA-N	184.367	5.029	0	10	AKAE	
