smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCCCC[C@H](C)C1CCCCC1	ZINC000001697629	IRKYBYIUHWZQGP-ZDUSSCGKSA-N	196.378	5.173	0	1	AKAF	
C[C@H](CC(C)(C)C(C)(C)C)C(C)(C)C	ZINC000001701492	OTNCYIBPUVFLLZ-LLVKDONJSA-N	198.394	5.131	0	1	AKAF	
C/C(=C/C(C)(C)C(C)(C)C)C(C)(C)C	ZINC000001716207	RVZGQICOUDJTHV-KHPPLWFESA-N	196.378	5.051	0	1	AKAF	
C/C=C/CCCCCCCCCCC	ZINC000070450837	OBDUMNZXAIUUTH-HWKANZROSA-N	196.378	5.483	0	1	AKAF	biogenic,in-vitro
CCCC[C@@H](CCC)CCC(C)C	ZINC000070454257	CABCROIGBFQLHZ-CYBMUJFWSA-N	184.367	5.029	0	1	AKAF	biogenic,in-vitro
CCCCCCC[C@H](C)CC(C)C	ZINC000070454511	WMZNFELFMFOGCC-ZDUSSCGKSA-N	184.367	5.029	0	1	AKAF	biogenic,in-vitro
CCCCCC[C@@H](C)C[C@@H](C)CCC	ZINC000070454522	FNUQJWPIADDMRS-UONOGXRCSA-N	198.394	5.419	0	1	AKAF	biogenic,in-vitro
CCCCCCCC/C=C(/C)C(C)C	ZINC000078165873	VHLOJMKUCZZJEL-OWBHPGMISA-N	196.378	5.339	0	1	AKAF	
CCCCC/C=C\CCCCCCC	ZINC000078212021	BIODCQQZTGWGNH-QBFSEMIESA-N	196.378	5.483	0	1	AKAF	
CCCCC(CCCC)[C@@H](C)CC	ZINC000078693899	MYBISLOUUPIYHV-LBPRGKRZSA-N	184.367	5.029	0	1	AKAF	
CCCCC(CCCC)[C@H](C)CC	ZINC000078693906	MYBISLOUUPIYHV-GFCCVEGCSA-N	184.367	5.029	0	1	AKAF	
CCCC/C=C\CCCCCCC	ZINC000080859325	VDFGUEPMNNLWOZ-LUAWRHEFSA-N	182.351	5.093	0	1	AKAF	
CCCC/C=C/CCCCCCC	ZINC000080859331	VDFGUEPMNNLWOZ-PKNBQFBNSA-N	182.351	5.093	0	1	AKAF	
CCCCCC[C@@H](C)C[C@H](C)CC	ZINC000081201467	YSUJWFQMTUVXNQ-CHWSQXEVSA-N	184.367	5.029	0	1	AKAF	
CCCCCC[C@@H](C)C1CCCCC1	ZINC000082152363	IRKYBYIUHWZQGP-CYBMUJFWSA-N	196.378	5.173	0	1	AKAF	
CCCCCCCC[C@@H](C)CC(C)C	ZINC000085642730	AFELDWXNIFIYOC-CQSZACIVSA-N	198.394	5.419	0	1	AKAF	biogenic,in-man
CCCCCCCC[C@H](C)CC(C)C	ZINC000085642734	AFELDWXNIFIYOC-AWEZNQCLSA-N	198.394	5.419	0	1	AKAF	biogenic,in-man
CCCCCC[C@@H](C)C(C)(C)CC	ZINC000085972376	AVICXEDVKYYQCS-GFCCVEGCSA-N	184.367	5.029	0	1	AKAF	endogenous,in-man
CCCCCC[C@H](C)C(C)(C)CC	ZINC000085972378	AVICXEDVKYYQCS-LBPRGKRZSA-N	184.367	5.029	0	1	AKAF	endogenous,in-man
CCCCC/C=C/CCCCCC	ZINC000086002199	QHOMPCGOCNNMFK-ACCUITESSA-N	182.351	5.093	0	1	AKAF	biogenic,in-vitro
CCCCCCC[C@@H](C)CCCC	ZINC000086050513	NVINYZLICSJRSI-ZDUSSCGKSA-N	184.367	5.173	0	1	AKAF	biogenic,in-vitro
CCCCCCC[C@H](C)CCCC	ZINC000086050515	NVINYZLICSJRSI-CYBMUJFWSA-N	184.367	5.173	0	1	AKAF	biogenic,in-vitro
CCCCCC[C@@H](C)CCCCC	ZINC000086050516	GQIFTXJDMHDJFL-ZDUSSCGKSA-N	184.367	5.173	0	1	AKAF	biogenic,in-vitro
CCCCCC[C@H](C)CCCCC	ZINC000086050518	GQIFTXJDMHDJFL-CYBMUJFWSA-N	184.367	5.173	0	1	AKAF	biogenic,in-vitro
CCCC[C@@H](C)CCC[C@@H](C)CC	ZINC000088366884	QQWXDSCYXKZATG-QWHCGFSZSA-N	184.367	5.029	0	1	AKAF	
CCCC[C@H](C)CCC[C@@H](C)CC	ZINC000088366885	QQWXDSCYXKZATG-STQMWFEESA-N	184.367	5.029	0	1	AKAF	
CCCC[C@@H](C)CCC[C@H](C)CC	ZINC000088366886	QQWXDSCYXKZATG-CHWSQXEVSA-N	184.367	5.029	0	1	AKAF	
CCCC[C@H](C)CCC[C@H](C)CC	ZINC000088366887	QQWXDSCYXKZATG-OLZOCXBDSA-N	184.367	5.029	0	1	AKAF	
CC[C@@H](C)CC[C@@H](C)C[C@@H](C)C(C)C	ZINC000090414259	XTIADNINQBIUNR-MGPQQGTHSA-N	198.394	5.131	0	1	AKAF	
CC[C@H](C)CC[C@@H](C)C[C@@H](C)C(C)C	ZINC000090414260	XTIADNINQBIUNR-BFHYXJOUSA-N	198.394	5.131	0	1	AKAF	
CC[C@@H](C)CC[C@H](C)C[C@@H](C)C(C)C	ZINC000090414261	XTIADNINQBIUNR-HZSPNIEDSA-N	198.394	5.131	0	1	AKAF	
CC[C@H](C)CC[C@H](C)C[C@@H](C)C(C)C	ZINC000090414262	XTIADNINQBIUNR-MELADBBJSA-N	198.394	5.131	0	1	AKAF	
CC/C=C(/CC)C/C=C\CCCCC	ZINC000090430390	CUNFYRYZIPAPSB-QDUUWUCGSA-N	194.362	5.259	0	1	AKAF	
CC/C=C(/CC)C/C=C/CCCCC	ZINC000090430393	CUNFYRYZIPAPSB-SEBJLUHNSA-N	194.362	5.259	0	1	AKAF	
CC/C=C(\CC)C/C=C\CCCCC	ZINC000090430395	CUNFYRYZIPAPSB-HSINTONASA-N	194.362	5.259	0	1	AKAF	
CC/C=C(\CC)C/C=C/CCCCC	ZINC000090430396	CUNFYRYZIPAPSB-CYZWUHAYSA-N	194.362	5.259	0	1	AKAF	
CCCCCCC(C)(C)CC(C)(C)C	ZINC000090434008	ARMZMLKGTHUCBR-UHFFFAOYSA-N	198.394	5.419	0	1	AKAF	
C=CCCC/C=C(/C)CCC=C(C)C	ZINC000090735759	CTGNZDBBUKMRSF-KAMYIIQDSA-N	192.346	5.035	0	1	AKAF	
C=CCCC/C=C(\C)CCC=C(C)C	ZINC000090735760	CTGNZDBBUKMRSF-SDNWHVSQSA-N	192.346	5.035	0	1	AKAF	
C=CCCCCCCCCC=C(C)C	ZINC000090750423	YRRXXGBEHQKNQY-UHFFFAOYSA-N	194.362	5.259	0	1	AKAF	
CCCC[C@H]1CC[C@H](CCCC)CC1	ZINC000100283391	KMYGGPNJMODCTH-OKILXGFUSA-N	196.378	5.173	0	1	AKAF	
CCCCC[C@H]1CC[C@H](CCC)CC1	ZINC000100288317	MIMPJWFVIIZSSW-OKILXGFUSA-N	196.378	5.173	0	1	AKAF	
C=CC(=C)C/C=C\CCCCCCC	ZINC000100293587	UPKHXRJDUFCIDT-QXMHVHEDSA-N	192.346	5.035	0	1	AKAF	
C=CC(=C)C/C=C/CCCCCCC	ZINC000100293590	UPKHXRJDUFCIDT-VAWYXSNFSA-N	192.346	5.035	0	1	AKAF	
CCCCCCC[C@@H]1C[C@@H]1C(C)(C)C	ZINC000100297111	SSKVITDLNRIUQL-OLZOCXBDSA-N	196.378	5.029	0	1	AKAF	
CCCCCCC[C@H]1C[C@@H]1C(C)(C)C	ZINC000100297114	SSKVITDLNRIUQL-STQMWFEESA-N	196.378	5.029	0	1	AKAF	
CCCCCCC[C@@H]1C[C@H]1C(C)(C)C	ZINC000100297117	SSKVITDLNRIUQL-CHWSQXEVSA-N	196.378	5.029	0	1	AKAF	
CCCCCCC[C@H]1C[C@H]1C(C)(C)C	ZINC000100297119	SSKVITDLNRIUQL-QWHCGFSZSA-N	196.378	5.029	0	1	AKAF	
C=C(C)C(C)(C)CCCCCCCC	ZINC000100297848	HIEWSKDVHOBWFH-UHFFFAOYSA-N	196.378	5.339	0	1	AKAF	
C=CCC(C)(C)CCCCCCCC	ZINC000100298406	RVTBPBIEATWDJL-UHFFFAOYSA-N	196.378	5.339	0	1	AKAF	
CC/C=C/CCCCCCCCCC	ZINC000100886730	QKTFNIWYLYTNIS-FNORWQNLSA-N	196.378	5.483	0	1	AKAF	in-man
CCCCCCCCC(CC)CC	ZINC000101678308	NJDOLAPZCLPAHZ-UHFFFAOYSA-N	184.367	5.173	0	1	AKAF	
CCCCC/C=C\CCCCCC	ZINC000105085964	QHOMPCGOCNNMFK-QBFSEMIESA-N	182.351	5.093	0	1	AKAF	
C[C@@H](CC(C)(C)C(C)(C)C)C(C)(C)C	ZINC000105164266	OTNCYIBPUVFLLZ-NSHDSACASA-N	198.394	5.131	0	1	AKAF	
C/C(=C\C(C)(C)C(C)(C)C)C(C)(C)C	ZINC000105293658	RVZGQICOUDJTHV-ZHACJKMWSA-N	196.378	5.051	0	1	AKAF	
CCCCCCC[C@@H](C)C[C@@H](C)CC	ZINC000111329277	XZGJLSWBVWBSQT-UONOGXRCSA-N	198.394	5.419	0	1	AKAF	
CCCCCCC[C@H](C)C[C@@H](C)CC	ZINC000111329279	XZGJLSWBVWBSQT-KBPBESRZSA-N	198.394	5.419	0	1	AKAF	
CCCCCCC[C@@H](C)C[C@H](C)CC	ZINC000111329281	XZGJLSWBVWBSQT-ZIAGYGMSSA-N	198.394	5.419	0	1	AKAF	
CCCCCCC[C@H](C)C[C@H](C)CC	ZINC000111329284	XZGJLSWBVWBSQT-KGLIPLIRSA-N	198.394	5.419	0	1	AKAF	
CCCCCC[C@@H](C)C[C@@H](C)CC	ZINC000111333728	YSUJWFQMTUVXNQ-QWHCGFSZSA-N	184.367	5.029	0	1	AKAF	
CCCCCC[C@H](C)C[C@@H](C)CC	ZINC000111333731	YSUJWFQMTUVXNQ-STQMWFEESA-N	184.367	5.029	0	1	AKAF	
CCCCCC[C@H](C)C[C@H](C)CC	ZINC000111333733	YSUJWFQMTUVXNQ-OLZOCXBDSA-N	184.367	5.029	0	1	AKAF	
CCCC[C@@H](C)C[C@@H](C)CCCC	ZINC000111333740	AMMTZOCUKBWLJL-BETUJISGSA-N	184.367	5.029	0	1	AKAF	
CCCC[C@H](C)C[C@@H](C)CCCC	ZINC000111333741	AMMTZOCUKBWLJL-STQMWFEESA-N	184.367	5.029	0	1	AKAF	
CCCC[C@@H](C)C[C@H](C)CCCC	ZINC000111333744	AMMTZOCUKBWLJL-CHWSQXEVSA-N	184.367	5.029	0	1	AKAF	
CCCCCCCC[C@@H](C)CCCC	ZINC000111337132	NFWBQMAWXUZCRJ-AWEZNQCLSA-N	198.394	5.563	0	1	AKAF	
CCCCCCCC[C@H](C)CCCC	ZINC000111337134	NFWBQMAWXUZCRJ-CQSZACIVSA-N	198.394	5.563	0	1	AKAF	
CCC/C=C\CCCCCCCC	ZINC000111341542	UJZLNVCZGZKIHR-CLFYSBASSA-N	182.351	5.093	0	1	AKAF	
CCC/C=C/CCCCCCCC	ZINC000111341544	UJZLNVCZGZKIHR-VQHVLOKHSA-N	182.351	5.093	0	1	AKAF	
CCCC[C@H](CCC)CCC(C)C	ZINC000111959710	CABCROIGBFQLHZ-ZDUSSCGKSA-N	184.367	5.029	0	1	AKAF	
CCCCCC[C@H](C)C[C@@H](C)CCC	ZINC000114358490	FNUQJWPIADDMRS-KBPBESRZSA-N	198.394	5.419	0	1	AKAF	
CCCCCC[C@@H](C)C[C@H](C)CCC	ZINC000114358493	FNUQJWPIADDMRS-ZIAGYGMSSA-N	198.394	5.419	0	1	AKAF	
